scenario,planner,total_time_s,flight_distance_m,success_rate,mission_feasible,max_blackout_s,wait_time_s,service_time_s,reconnect_count,protocol_switches,radio_obstacle_hits,route
reference,distance_only,2126.934,2906.071,1.0,False,203.015,1045.355,839.407,13,13,3,N01 -> N02 -> N03 -> N04 -> N05 -> N06 -> N07 -> N08 -> N13 -> N12 -> N09 -> N10 -> N11 -> N14
reference,ordinary_collection,1609.248,2926.059,1.0,False,114.121,497.188,868.222,14,13,3,N14 -> N11 -> N10 -> N09 -> N12 -> N13 -> N08 -> N07 -> N06 -> N05 -> N04 -> N03 -> N02 -> N01
reference,protocol_aware,1371.245,3147.929,1.0,True,87.981,244.276,864.642,14,12,3,N02 -> N12 -> N13 -> N06 -> N07 -> N08 -> N10 -> N05 -> N09 -> N11 -> N04 -> N01 -> N03 -> N14
reference,bounded_blackout,1357.891,3023.825,1.0,True,56.461,231.51,874.396,14,13,3,N03 -> N11 -> N10 -> N12 -> N07 -> N09 -> N13 -> N06 -> N08 -> N05 -> N14 -> N01 -> N02 -> N04
reference,genetic_algorithm,1312.309,4328.894,1.0,True,70.683,130.502,821.065,14,13,3,N03 -> N08 -> N06 -> N04 -> N07 -> N11 -> N14 -> N13 -> N12 -> N10 -> N09 -> N01 -> N02 -> N05
reference,particle_swarm,1482.079,3678.869,1.0,True,96.0,301.227,874.28,14,12,3,N13 -> N05 -> N12 -> N10 -> N14 -> N11 -> N03 -> N09 -> N07 -> N04 -> N06 -> N08 -> N01 -> N02
homogeneous_protocols,distance_only,599.59,2820.345,1.0,True,66.948,114.304,250.257,12,0,0,N01 -> N02 -> N03 -> N04 -> N05 -> N06 -> N07 -> N08 -> N13 -> N12 -> N09 -> N10 -> N11 -> N14
homogeneous_protocols,ordinary_collection,577.961,2582.98,1.0,True,51.987,112.456,250.257,12,0,0,N01 -> N02 -> N06 -> N07 -> N08 -> N13 -> N12 -> N09 -> N10 -> N05 -> N11 -> N14 -> N04 -> N03
homogeneous_protocols,protocol_aware,465.526,2576.425,1.0,True,38.956,4.551,246.273,8,0,0,N02 -> N03 -> N08 -> N07 -> N12 -> N13 -> N05 -> N10 -> N09 -> N06 -> N14 -> N11 -> N04 -> N01
homogeneous_protocols,bounded_blackout,465.526,2576.425,1.0,True,38.956,4.551,246.273,8,0,0,N02 -> N03 -> N08 -> N07 -> N12 -> N13 -> N05 -> N10 -> N09 -> N06 -> N14 -> N11 -> N04 -> N01
homogeneous_protocols,genetic_algorithm,465.526,2576.425,1.0,True,38.956,4.551,246.273,8,0,0,N02 -> N03 -> N08 -> N07 -> N12 -> N13 -> N05 -> N10 -> N09 -> N06 -> N14 -> N11 -> N04 -> N01
homogeneous_protocols,particle_swarm,462.336,2520.969,1.0,True,39.018,6.35,245.906,8,0,0,N02 -> N03 -> N08 -> N07 -> N12 -> N13 -> N05 -> N06 -> N10 -> N09 -> N14 -> N11 -> N04 -> N01
no_sleep,distance_only,1081.579,2906.071,1.0,True,72.429,0.0,839.407,13,13,3,N01 -> N02 -> N03 -> N04 -> N05 -> N06 -> N07 -> N08 -> N13 -> N12 -> N09 -> N10 -> N11 -> N14
no_sleep,ordinary_collection,1112.06,2926.059,1.0,True,47.797,0.0,868.222,14,13,3,N14 -> N11 -> N10 -> N09 -> N12 -> N13 -> N08 -> N07 -> N06 -> N05 -> N04 -> N03 -> N02 -> N01
no_sleep,protocol_aware,1034.741,2737.53,1.0,True,70.359,0.0,806.614,13,12,3,N01 -> N02 -> N03 -> N06 -> N04 -> N07 -> N13 -> N08 -> N12 -> N10 -> N09 -> N05 -> N11 -> N14
no_sleep,bounded_blackout,1034.741,2737.53,1.0,True,70.359,0.0,806.614,13,12,3,N01 -> N02 -> N03 -> N06 -> N04 -> N07 -> N13 -> N08 -> N12 -> N10 -> N09 -> N05 -> N11 -> N14
no_sleep,genetic_algorithm,1034.741,2737.53,1.0,True,70.359,0.0,806.614,13,12,3,N01 -> N02 -> N03 -> N06 -> N04 -> N07 -> N13 -> N08 -> N12 -> N10 -> N09 -> N05 -> N11 -> N14
no_sleep,particle_swarm,1034.741,2737.53,1.0,True,70.359,0.0,806.614,13,12,3,N01 -> N02 -> N03 -> N06 -> N04 -> N07 -> N13 -> N08 -> N12 -> N10 -> N09 -> N05 -> N11 -> N14
