scenario,scenario_seed,planner,node_count,lora_nodes,zigbee_nodes,ble_nodes,wifi_nodes,total_time_s,flight_distance_m,max_blackout_s,wait_time_s,service_time_s,protocol_switches,radio_obstacle_hits,mission_feasible,runtime_ms,route
random_heterogeneous_iot_reference_seed_101,101,distance_only,14,1,7,3,3,987.849,2501.409,76.28,468.168,338.908,8,2,True,0.031,N14 -> N03 -> N07 -> N08 -> N06 -> N12 -> N11 -> N02 -> N01 -> N13 -> N10 -> N09 -> N04 -> N05
random_heterogeneous_iot_reference_seed_101,101,ordinary_collection,14,1,7,3,3,1206.075,2528.764,199.752,675.525,347.801,7,2,True,7.292,N14 -> N05 -> N04 -> N09 -> N10 -> N13 -> N01 -> N02 -> N11 -> N12 -> N06 -> N08 -> N07 -> N03
random_heterogeneous_iot_reference_seed_101,101,protocol_aware,14,1,7,3,3,829.777,4047.948,71.003,199.816,337.423,7,2,True,203.499,N12 -> N06 -> N11 -> N08 -> N01 -> N10 -> N02 -> N13 -> N09 -> N04 -> N07 -> N03 -> N05 -> N14
random_heterogeneous_iot_reference_seed_101,101,bounded_blackout,14,1,7,3,3,829.777,4047.948,71.003,199.816,337.423,7,2,True,1484.446,N12 -> N06 -> N11 -> N08 -> N01 -> N10 -> N02 -> N13 -> N09 -> N04 -> N07 -> N03 -> N05 -> N14
random_heterogeneous_iot_reference_seed_101,101,genetic_algorithm,14,1,7,3,3,829.777,4047.948,71.003,199.816,337.423,7,2,True,670.483,N12 -> N06 -> N11 -> N08 -> N01 -> N10 -> N02 -> N13 -> N09 -> N04 -> N07 -> N03 -> N05 -> N14
random_heterogeneous_iot_reference_seed_101,101,particle_swarm,14,1,7,3,3,829.777,4047.948,71.003,199.816,337.423,7,2,True,226.785,N12 -> N06 -> N11 -> N08 -> N01 -> N10 -> N02 -> N13 -> N09 -> N04 -> N07 -> N03 -> N05 -> N14
random_heterogeneous_iot_reference_seed_101,101,ga_blackout,14,1,7,3,3,841.739,5499.1,55.595,95.35,348.978,6,2,True,1054.586,N03 -> N04 -> N11 -> N08 -> N06 -> N13 -> N02 -> N09 -> N05 -> N01 -> N07 -> N12 -> N10 -> N14
random_heterogeneous_iot_reference_seed_101,101,pso_blackout,14,1,7,3,3,841.739,5499.1,55.595,95.35,348.978,6,2,True,592.211,N03 -> N04 -> N11 -> N08 -> N06 -> N13 -> N02 -> N09 -> N05 -> N01 -> N07 -> N12 -> N10 -> N14
random_heterogeneous_iot_reference_seed_101,101,q_learning_blackout,14,1,7,3,3,1115.241,4883.897,78.036,411.733,350.557,8,2,True,32.452,N06 -> N08 -> N03 -> N05 -> N14 -> N07 -> N12 -> N01 -> N02 -> N13 -> N04 -> N09 -> N11 -> N10
random_heterogeneous_iot_reference_seed_101,101,neural_q_blackout,14,1,7,3,3,1214.216,5062.258,86.124,505.642,342.733,8,2,True,2241.191,N03 -> N06 -> N07 -> N08 -> N02 -> N11 -> N12 -> N09 -> N05 -> N14 -> N01 -> N04 -> N13 -> N10
