profile_variant,scenario,scenario_seed,planner,total_time_s,max_blackout_s,mean_gap_s,average_silence_age_s,mean_collection_completion_s,meets_90s_budget,mission_feasible,runtime_ms,route
literature_aligned,random_heterogeneous_iot_literature_aligned_seed_101,101,protocol_aware_time,1151.279,106.413,44.937,18.932,658.402,0,1,332.821,N05 -> N04 -> N03 -> N08 -> N12 -> N06 -> N11 -> N02 -> N13 -> N01 -> N10 -> N09 -> N14 -> N07
literature_aligned,random_heterogeneous_iot_literature_aligned_seed_101,101,soft_penalty_w12,1032.027,87.722,36.327,13.741,644.36,1,1,291.164,N03 -> N06 -> N01 -> N11 -> N12 -> N02 -> N13 -> N05 -> N04 -> N14 -> N10 -> N09 -> N08 -> N07
literature_aligned,random_heterogeneous_iot_literature_aligned_seed_101,101,average_gap,1012.656,69.956,31.243,10.207,671.401,1,1,921.775,N05 -> N10 -> N11 -> N01 -> N02 -> N09 -> N13 -> N04 -> N06 -> N12 -> N07 -> N14 -> N03 -> N08
literature_aligned,random_heterogeneous_iot_literature_aligned_seed_101,101,freshness_focused,1167.988,148.221,46.041,19.942,361.34,0,1,898.22,N03 -> N06 -> N01 -> N05 -> N10 -> N09 -> N07 -> N08 -> N02 -> N13 -> N04 -> N14 -> N12 -> N11
literature_aligned,random_heterogeneous_iot_literature_aligned_seed_101,101,bounded_beta90,867.534,52.5,25.611,8.621,420.879,1,1,1891.924,N03 -> N07 -> N14 -> N12 -> N06 -> N08 -> N11 -> N13 -> N02 -> N10 -> N09 -> N01 -> N05 -> N04
literature_aligned,random_heterogeneous_iot_literature_aligned_seed_102,102,protocol_aware_time,1444.227,93.207,30.491,7.898,1029.773,0,1,163.035,N13 -> N01 -> N12 -> N02 -> N05 -> N14 -> N04 -> N10 -> N11 -> N03 -> N09 -> N08 -> N06 -> N07
literature_aligned,random_heterogeneous_iot_literature_aligned_seed_102,102,soft_penalty_w12,1387.852,65.121,29.529,6.183,952.833,1,1,282.945,N07 -> N02 -> N03 -> N12 -> N09 -> N05 -> N04 -> N01 -> N10 -> N11 -> N14 -> N08 -> N06 -> N13
literature_aligned,random_heterogeneous_iot_literature_aligned_seed_102,102,average_gap,1391.325,70.45,26.425,5.86,1037.394,1,1,425.179,N08 -> N14 -> N12 -> N02 -> N05 -> N04 -> N01 -> N10 -> N11 -> N03 -> N09 -> N07 -> N06 -> N13
literature_aligned,random_heterogeneous_iot_literature_aligned_seed_102,102,freshness_focused,1684.251,201.85,48.864,19.896,817.071,0,0,442.586,N13 -> N08 -> N03 -> N04 -> N01 -> N02 -> N14 -> N12 -> N10 -> N05 -> N09 -> N11 -> N06 -> N07
literature_aligned,random_heterogeneous_iot_literature_aligned_seed_102,102,bounded_beta90,1423.429,52.404,28.653,5.801,289.24,1,1,1292.631,N13 -> N08 -> N02 -> N05 -> N03 -> N04 -> N14 -> N07 -> N11 -> N09 -> N10 -> N06 -> N01 -> N12
literature_aligned,random_heterogeneous_iot_literature_aligned_seed_103,103,protocol_aware_time,1691.252,90.492,43.515,10.946,976.2,0,0,264.292,N01 -> N07 -> N02 -> N10 -> N04 -> N03 -> N13 -> N09 -> N08 -> N11 -> N12 -> N05 -> N14 -> N06
literature_aligned,random_heterogeneous_iot_literature_aligned_seed_103,103,soft_penalty_w12,1693.194,87.719,42.475,9.79,643.01,1,0,292.367,N05 -> N04 -> N03 -> N13 -> N08 -> N01 -> N09 -> N11 -> N07 -> N06 -> N12 -> N14 -> N02 -> N10
literature_aligned,random_heterogeneous_iot_literature_aligned_seed_103,103,average_gap,1684.528,88.541,38.96,10.202,986.643,1,0,958.913,N05 -> N14 -> N02 -> N10 -> N07 -> N01 -> N13 -> N09 -> N12 -> N11 -> N03 -> N04 -> N08 -> N06
literature_aligned,random_heterogeneous_iot_literature_aligned_seed_103,103,freshness_focused,1710.695,138.912,44.48,14.01,652.267,0,0,897.495,N14 -> N04 -> N06 -> N13 -> N09 -> N08 -> N07 -> N11 -> N01 -> N03 -> N12 -> N05 -> N02 -> N10
literature_aligned,random_heterogeneous_iot_literature_aligned_seed_103,103,bounded_beta90,1691.252,90.492,43.515,10.946,976.2,0,0,2173.193,N01 -> N07 -> N02 -> N10 -> N04 -> N03 -> N13 -> N09 -> N08 -> N11 -> N12 -> N05 -> N14 -> N06
literature_aligned,random_heterogeneous_iot_literature_aligned_seed_104,104,protocol_aware_time,3249.56,94.53,50.564,7.535,2025.569,0,0,382.968,N13 -> N06 -> N10 -> N08 -> N01 -> N12 -> N03 -> N07 -> N05 -> N04 -> N02 -> N09 -> N14 -> N11
literature_aligned,random_heterogeneous_iot_literature_aligned_seed_104,104,soft_penalty_w12,3201.262,86.441,41.177,5.91,1574.806,1,0,327.187,N05 -> N08 -> N11 -> N03 -> N10 -> N02 -> N07 -> N13 -> N04 -> N01 -> N12 -> N09 -> N14 -> N06
literature_aligned,random_heterogeneous_iot_literature_aligned_seed_104,104,average_gap,3379.201,190.846,42.99,9.487,1242.277,0,0,899.811,N14 -> N02 -> N04 -> N11 -> N07 -> N05 -> N06 -> N09 -> N12 -> N01 -> N08 -> N03 -> N13 -> N10
literature_aligned,random_heterogeneous_iot_literature_aligned_seed_104,104,freshness_focused,3177.215,101.203,41.796,6.351,999.427,0,0,809.195,N14 -> N06 -> N11 -> N03 -> N08 -> N04 -> N07 -> N02 -> N01 -> N12 -> N10 -> N05 -> N13 -> N09
literature_aligned,random_heterogeneous_iot_literature_aligned_seed_104,104,bounded_beta90,3172.598,81.929,42.384,5.749,1967.288,1,0,1854.538,N10 -> N14 -> N02 -> N03 -> N12 -> N13 -> N08 -> N01 -> N11 -> N07 -> N04 -> N06 -> N05 -> N09
