profile_variant,scenario,scenario_seed,planner,node_count,lora_nodes,zigbee_nodes,ble_nodes,wifi_nodes,total_time_s,flight_distance_m,max_blackout_s,meets_90s_budget,mission_feasible,wait_time_s,service_time_s,protocol_switches,radio_obstacle_hits,runtime_ms,route
literature_aligned,random_heterogeneous_iot_literature_aligned_seed_101,101,distance_only,14,1,7,3,3,1323.188,2448.27,106.19,0,1,634.479,511.776,8,2,0.033,N14 -> N03 -> N07 -> N08 -> N06 -> N12 -> N11 -> N02 -> N01 -> N13 -> N10 -> N09 -> N04 -> N05
literature_aligned,random_heterogeneous_iot_literature_aligned_seed_101,101,ordinary_collection,14,1,7,3,3,1416.817,2496.011,141.682,0,1,692.18,544.255,7,2,7.085,N14 -> N05 -> N04 -> N09 -> N10 -> N13 -> N01 -> N02 -> N11 -> N12 -> N06 -> N08 -> N07 -> N03
literature_aligned,random_heterogeneous_iot_literature_aligned_seed_101,101,protocol_aware,14,1,7,3,3,1151.279,3712.526,106.413,0,1,375.654,507.327,5,2,318.557,N05 -> N04 -> N03 -> N08 -> N12 -> N06 -> N11 -> N02 -> N13 -> N01 -> N10 -> N09 -> N14 -> N07
literature_aligned,random_heterogeneous_iot_literature_aligned_seed_101,101,bounded_blackout,14,1,7,3,3,867.534,3431.311,52.5,1,1,103.188,516.371,7,2,1891.924,N03 -> N07 -> N14 -> N12 -> N06 -> N08 -> N11 -> N13 -> N02 -> N10 -> N09 -> N01 -> N05 -> N04
literature_aligned,random_heterogeneous_iot_literature_aligned_seed_101,101,genetic_algorithm,14,1,7,3,3,821.498,3097.422,66.292,1,1,79.336,518.317,8,2,700.247,N03 -> N07 -> N14 -> N12 -> N06 -> N08 -> N11 -> N13 -> N04 -> N05 -> N10 -> N09 -> N01 -> N02
literature_aligned,random_heterogeneous_iot_literature_aligned_seed_101,101,particle_swarm,14,1,7,3,3,1167.603,5178.584,105.538,0,1,275.977,517.378,11,2,226.521,N05 -> N04 -> N10 -> N08 -> N13 -> N01 -> N02 -> N06 -> N03 -> N09 -> N07 -> N14 -> N12 -> N11
literature_aligned,random_heterogeneous_iot_literature_aligned_seed_102,102,distance_only,14,1,8,4,1,1722.751,2315.42,108.02,0,0,515.225,992.14,10,2,0.025,N06 -> N05 -> N11 -> N04 -> N09 -> N14 -> N02 -> N12 -> N03 -> N01 -> N07 -> N13 -> N08 -> N10
literature_aligned,random_heterogeneous_iot_literature_aligned_seed_102,102,ordinary_collection,14,1,8,4,1,2001.327,2088.816,290.738,0,0,785.033,1021.987,10,2,12.424,N06 -> N01 -> N03 -> N07 -> N12 -> N02 -> N14 -> N09 -> N04 -> N11 -> N05 -> N10 -> N08 -> N13
literature_aligned,random_heterogeneous_iot_literature_aligned_seed_102,102,protocol_aware,14,1,8,4,1,1444.227,2873.273,93.207,0,1,153.184,1023.762,9,2,154.412,N13 -> N01 -> N12 -> N02 -> N05 -> N14 -> N04 -> N10 -> N11 -> N03 -> N09 -> N08 -> N06 -> N07
literature_aligned,random_heterogeneous_iot_literature_aligned_seed_102,102,bounded_blackout,14,1,8,4,1,1423.429,2667.091,52.404,1,1,147.089,1028.24,8,2,1292.631,N13 -> N08 -> N02 -> N05 -> N03 -> N04 -> N14 -> N07 -> N11 -> N09 -> N10 -> N06 -> N01 -> N12
literature_aligned,random_heterogeneous_iot_literature_aligned_seed_102,102,genetic_algorithm,14,1,8,4,1,1384.121,2587.18,54.847,1,1,114.206,1029.249,9,2,705.353,N13 -> N08 -> N11 -> N12 -> N02 -> N04 -> N07 -> N10 -> N03 -> N14 -> N09 -> N01 -> N06 -> N05
literature_aligned,random_heterogeneous_iot_literature_aligned_seed_102,102,particle_swarm,14,1,8,4,1,1444.227,2873.273,93.207,0,1,153.184,1023.762,9,2,176.261,N13 -> N01 -> N12 -> N02 -> N05 -> N14 -> N04 -> N10 -> N11 -> N03 -> N09 -> N08 -> N06 -> N07
literature_aligned,random_heterogeneous_iot_literature_aligned_seed_103,103,distance_only,14,3,4,3,4,2013.284,2384.174,227.872,0,0,772.615,1048.206,10,0,0.025,N14 -> N04 -> N08 -> N11 -> N02 -> N13 -> N09 -> N01 -> N07 -> N06 -> N12 -> N03 -> N05 -> N10
literature_aligned,random_heterogeneous_iot_literature_aligned_seed_103,103,ordinary_collection,14,3,4,3,4,2040.722,2390.887,244.999,0,0,787.919,1059.798,12,0,8.469,N14 -> N04 -> N11 -> N08 -> N02 -> N09 -> N13 -> N01 -> N07 -> N06 -> N12 -> N03 -> N10 -> N05
literature_aligned,random_heterogeneous_iot_literature_aligned_seed_103,103,protocol_aware,14,3,4,3,4,1691.252,4685.746,90.492,0,0,235.367,1077.627,8,0,258.865,N01 -> N07 -> N02 -> N10 -> N04 -> N03 -> N13 -> N09 -> N08 -> N11 -> N12 -> N05 -> N14 -> N06
