scenario_seed,phase_error_s,planner,total_time_s,flight_distance_m,max_blackout_s,meets_90s_budget,mission_feasible,planning_runtime_ms,route
701,0.0,distance_only,1460.003,3057.877,107.287,0,1,0.031,N14 -> N01 -> N02 -> N12 -> N05 -> N07 -> N09 -> N06 -> N11 -> N10 -> N03 -> N08 -> N04 -> N13
701,0.0,protocol_aware,1269.394,4074.381,67.719,1,1,214.963,N09 -> N06 -> N14 -> N07 -> N03 -> N05 -> N11 -> N10 -> N04 -> N08 -> N13 -> N01 -> N02 -> N12
701,0.0,bounded_blackout,1081.458,4339.472,59.428,1,1,1343.385,N09 -> N05 -> N06 -> N07 -> N11 -> N14 -> N12 -> N04 -> N03 -> N10 -> N08 -> N13 -> N01 -> N02
701,2.0,distance_only,1460.159,3057.877,105.444,0,1,0.031,N14 -> N01 -> N02 -> N12 -> N05 -> N07 -> N09 -> N06 -> N11 -> N10 -> N03 -> N08 -> N04 -> N13
701,2.0,protocol_aware,1271.181,4074.381,68.341,1,1,214.963,N09 -> N06 -> N14 -> N07 -> N03 -> N05 -> N11 -> N10 -> N04 -> N08 -> N13 -> N01 -> N02 -> N12
701,2.0,bounded_blackout,1201.457,4339.472,98.436,0,1,1343.385,N09 -> N05 -> N06 -> N07 -> N11 -> N14 -> N12 -> N04 -> N03 -> N10 -> N08 -> N13 -> N01 -> N02
701,5.0,distance_only,1464.549,3057.877,105.291,0,1,0.031,N14 -> N01 -> N02 -> N12 -> N05 -> N07 -> N09 -> N06 -> N11 -> N10 -> N03 -> N08 -> N04 -> N13
701,5.0,protocol_aware,1270.57,4074.381,71.737,1,1,214.963,N09 -> N06 -> N14 -> N07 -> N03 -> N05 -> N11 -> N10 -> N04 -> N08 -> N13 -> N01 -> N02 -> N12
701,5.0,bounded_blackout,1202.517,4339.472,97.838,0,1,1343.385,N09 -> N05 -> N06 -> N07 -> N11 -> N14 -> N12 -> N04 -> N03 -> N10 -> N08 -> N13 -> N01 -> N02
701,10.0,distance_only,1674.66,3057.877,204.625,0,0,0.031,N14 -> N01 -> N02 -> N12 -> N05 -> N07 -> N09 -> N06 -> N11 -> N10 -> N03 -> N08 -> N04 -> N13
