phase_error_s,planner,scenarios,violations_90s,endurance_violations,joint_violations,total_time_s_mean,total_time_s_std,total_time_s_ci95,flight_distance_m_mean,flight_distance_m_std,flight_distance_m_ci95,max_blackout_s_mean,max_blackout_s_std,max_blackout_s_ci95,planning_runtime_ms_mean,planning_runtime_ms_std,planning_runtime_ms_ci95
0.0,distance_only,50,49,26,49,1582.145,338.832,93.919,2679.101,334.656,92.762,171.268,43.016,11.923,0.023,0.003,0.001
0.0,protocol_aware,50,25,3,26,1128.508,244.391,67.742,3331.857,507.415,140.648,87.793,19.932,5.525,316.089,109.405,30.326
0.0,bounded_blackout,50,2,2,2,1095.555,258.988,71.788,3364.405,523.283,145.047,63.245,12.662,3.51,1886.055,423.85,117.485
2.0,distance_only,50,49,25,49,1576.666,334.576,92.74,2679.101,334.656,92.762,171.122,43.089,11.944,0.023,0.003,0.001
2.0,protocol_aware,50,32,5,32,1192.474,273.676,75.859,3331.857,507.415,140.648,102.221,37.565,10.412,316.089,109.405,30.326
2.0,bounded_blackout,50,16,6,16,1173.022,285.539,79.147,3364.405,523.283,145.047,91.847,56.157,15.566,1886.055,423.85,117.485
5.0,distance_only,50,49,24,49,1569.536,353.86,98.085,2679.101,334.656,92.762,172.242,41.461,11.492,0.023,0.003,0.001
5.0,protocol_aware,50,35,9,36,1289.342,285.727,79.199,3331.857,507.415,140.648,128.928,60.224,16.693,316.089,109.405,30.326
5.0,bounded_blackout,50,21,6,21,1220.819,292.546,81.09,3364.405,523.283,145.047,104.728,60.151,16.673,1886.055,423.85,117.485
10.0,distance_only,50,49,27,49,1565.572,332.692,92.218,2679.101,334.656,92.762,175.641,41.877,11.608,0.023,0.003,0.001
10.0,protocol_aware,50,36,15,37,1327.158,342.922,95.053,3331.857,507.415,140.648,138.688,58.942,16.338,316.089,109.405,30.326
10.0,bounded_blackout,50,35,16,35,1362.721,361.982,100.336,3364.405,523.283,145.047,141.361,66.192,18.347,1886.055,423.85,117.485
20.0,distance_only,50,50,24,50,1594.019,369.312,102.368,2679.101,334.656,92.762,178.829,35.537,9.85,0.023,0.003,0.001
20.0,protocol_aware,50,48,19,49,1449.508,315.224,87.376,3331.857,507.415,140.648,163.744,51.813,14.362,316.089,109.405,30.326
20.0,bounded_blackout,50,47,19,47,1476.747,280.748,77.819,3364.405,523.283,145.047,164.881,51.127,14.172,1886.055,423.85,117.485
30.0,distance_only,50,49,29,49,1591.001,357.356,99.054,2679.101,334.656,92.762,170.015,44.687,12.387,0.023,0.003,0.001
30.0,protocol_aware,50,49,28,49,1543.432,322.515,89.397,3331.857,507.415,140.648,172.765,49.706,13.778,316.089,109.405,30.326
30.0,bounded_blackout,50,48,26,48,1539.662,314.798,87.258,3364.405,523.283,145.047,175.013,51.287,14.216,1886.055,423.85,117.485
