scenario,planner,total_time_s,flight_distance_m,success_rate,mission_feasible,max_blackout_s,wait_time_s,service_time_s,reconnect_count,protocol_switches,radio_obstacle_hits,route,study,parameter,value
data_rate_factor_0.50,distance_only,2466.94,2906.071,1.0,False,172.086,591.554,1633.213,13,13,3,N01 -> N02 -> N03 -> N04 -> N05 -> N06 -> N07 -> N08 -> N13 -> N12 -> N09 -> N10 -> N11 -> N14,protocol_parameter,data_rate_factor,0.5
data_rate_factor_0.50,ordinary_collection,2584.418,2667.84,1.0,False,151.842,731.478,1630.62,13,10,3,N01 -> N02 -> N06 -> N07 -> N08 -> N13 -> N12 -> N09 -> N10 -> N05 -> N11 -> N14 -> N04 -> N03,protocol_parameter,data_rate_factor,0.5
data_rate_factor_0.50,protocol_aware,2167.383,3436.283,1.0,False,70.374,157.029,1723.997,14,9,3,N04 -> N14 -> N09 -> N08 -> N10 -> N05 -> N11 -> N12 -> N07 -> N06 -> N13 -> N03 -> N01 -> N02,protocol_parameter,data_rate_factor,0.5
data_rate_factor_0.50,bounded_blackout,2086.944,3341.337,1.0,False,58.526,139.369,1669.13,13,12,3,N01 -> N04 -> N08 -> N03 -> N11 -> N07 -> N12 -> N13 -> N06 -> N14 -> N10 -> N09 -> N05 -> N02,protocol_parameter,data_rate_factor,0.5
data_rate_factor_0.50,genetic_algorithm,2221.36,4483.049,1.0,False,77.882,145.107,1702.665,11,10,3,N01 -> N13 -> N10 -> N11 -> N08 -> N05 -> N02 -> N07 -> N12 -> N03 -> N06 -> N09 -> N14 -> N04,protocol_parameter,data_rate_factor,0.5
data_rate_factor_0.50,particle_swarm,2198.918,3940.163,1.0,False,83.43,259.014,1611.557,13,10,3,N03 -> N02 -> N01 -> N07 -> N06 -> N05 -> N04 -> N14 -> N13 -> N11 -> N12 -> N10 -> N08 -> N09,protocol_parameter,data_rate_factor,0.5
data_rate_factor_1.00,distance_only,2126.934,2906.071,1.0,False,203.015,1045.355,839.407,13,13,3,N01 -> N02 -> N03 -> N04 -> N05 -> N06 -> N07 -> N08 -> N13 -> N12 -> N09 -> N10 -> N11 -> N14,protocol_parameter,data_rate_factor,1.0
data_rate_factor_1.00,ordinary_collection,1609.248,2926.059,1.0,False,114.121,497.188,868.222,14,13,3,N14 -> N11 -> N10 -> N09 -> N12 -> N13 -> N08 -> N07 -> N06 -> N05 -> N04 -> N03 -> N02 -> N01,protocol_parameter,data_rate_factor,1.0
data_rate_factor_1.00,protocol_aware,1371.245,3147.929,1.0,True,87.981,244.276,864.642,14,12,3,N02 -> N12 -> N13 -> N06 -> N07 -> N08 -> N10 -> N05 -> N09 -> N11 -> N04 -> N01 -> N03 -> N14,protocol_parameter,data_rate_factor,1.0
data_rate_factor_1.00,bounded_blackout,1357.891,3023.825,1.0,True,56.461,231.51,874.396,14,13,3,N03 -> N11 -> N10 -> N12 -> N07 -> N09 -> N13 -> N06 -> N08 -> N05 -> N14 -> N01 -> N02 -> N04,protocol_parameter,data_rate_factor,1.0
data_rate_factor_1.00,genetic_algorithm,1493.225,4899.261,1.0,True,101.3,207.292,877.661,14,11,3,N12 -> N02 -> N09 -> N05 -> N06 -> N14 -> N13 -> N11 -> N08 -> N07 -> N04 -> N10 -> N01 -> N03,protocol_parameter,data_rate_factor,1.0
data_rate_factor_1.00,particle_swarm,1470.899,4027.962,1.0,True,116.623,301.32,833.915,14,11,3,N11 -> N13 -> N05 -> N10 -> N08 -> N12 -> N09 -> N03 -> N14 -> N02 -> N07 -> N04 -> N06 -> N01,protocol_parameter,data_rate_factor,1.0
data_rate_factor_1.50,distance_only,1373.599,2906.071,1.0,True,132.228,556.622,574.804,13,13,3,N01 -> N02 -> N03 -> N04 -> N05 -> N06 -> N07 -> N08 -> N13 -> N12 -> N09 -> N10 -> N11 -> N14,protocol_parameter,data_rate_factor,1.5
data_rate_factor_1.50,ordinary_collection,1374.582,2714.945,1.0,True,120.38,576.147,572.19,13,12,3,N01 -> N02 -> N06 -> N07 -> N08 -> N13 -> N12 -> N09 -> N10 -> N11 -> N14 -> N05 -> N04 -> N03,protocol_parameter,data_rate_factor,1.5
