profile_variant,scenario,scenario_seed,planner,total_time_s,max_blackout_s,mean_gap_s,average_silence_age_s,mean_collection_completion_s,meets_90s_budget,mission_feasible,runtime_ms,route
public_measurement_informed,random_heterogeneous_iot_public_measurement_informed_seed_101,101,protocol_aware_time,1016.546,64.994,34.332,11.818,476.99,1,1,317.317,N14 -> N09 -> N04 -> N05 -> N10 -> N02 -> N13 -> N01 -> N08 -> N11 -> N07 -> N12 -> N06 -> N03
public_measurement_informed,random_heterogeneous_iot_public_measurement_informed_seed_101,101,soft_penalty_w12,1077.134,68.402,38.64,12.572,686.214,1,1,250.629,N06 -> N08 -> N11 -> N03 -> N07 -> N12 -> N01 -> N02 -> N10 -> N13 -> N04 -> N09 -> N14 -> N05
public_measurement_informed,random_heterogeneous_iot_public_measurement_informed_seed_101,101,average_gap,1016.566,71.415,31.863,10.393,480.436,1,1,828.028,N14 -> N10 -> N02 -> N05 -> N09 -> N04 -> N13 -> N01 -> N07 -> N11 -> N08 -> N12 -> N06 -> N03
public_measurement_informed,random_heterogeneous_iot_public_measurement_informed_seed_101,101,freshness_focused,1317.901,165.13,55.28,30.649,400.266,0,1,849.908,N03 -> N14 -> N07 -> N02 -> N09 -> N10 -> N01 -> N13 -> N08 -> N06 -> N04 -> N12 -> N11 -> N05
public_measurement_informed,random_heterogeneous_iot_public_measurement_informed_seed_101,101,bounded_beta90,871.871,60.503,24.725,8.559,240.658,1,1,1900.313,N03 -> N07 -> N14 -> N06 -> N12 -> N04 -> N05 -> N10 -> N09 -> N02 -> N13 -> N01 -> N08 -> N11
public_measurement_informed,random_heterogeneous_iot_public_measurement_informed_seed_102,102,protocol_aware_time,1486.921,107.504,35.197,11.153,703.809,0,1,257.101,N08 -> N10 -> N07 -> N02 -> N03 -> N14 -> N04 -> N01 -> N09 -> N12 -> N05 -> N13 -> N06 -> N11
public_measurement_informed,random_heterogeneous_iot_public_measurement_informed_seed_102,102,soft_penalty_w12,1505.158,74.184,35.681,8.152,989.162,1,0,315.807,N01 -> N10 -> N09 -> N12 -> N02 -> N03 -> N04 -> N11 -> N14 -> N07 -> N06 -> N13 -> N08 -> N05
public_measurement_informed,random_heterogeneous_iot_public_measurement_informed_seed_102,102,average_gap,1446.736,70.45,29.522,6.585,1058.275,1,1,742.543,N08 -> N14 -> N12 -> N09 -> N03 -> N04 -> N02 -> N11 -> N13 -> N01 -> N10 -> N06 -> N05 -> N07
public_measurement_informed,random_heterogeneous_iot_public_measurement_informed_seed_102,102,freshness_focused,1567.471,160.86,40.175,14.617,531.777,0,0,773.325,N06 -> N10 -> N09 -> N03 -> N04 -> N14 -> N07 -> N05 -> N02 -> N01 -> N12 -> N08 -> N13 -> N11
public_measurement_informed,random_heterogeneous_iot_public_measurement_informed_seed_102,102,bounded_beta90,1409.544,48.818,29.209,5.636,409.89,1,1,1827.861,N06 -> N08 -> N03 -> N07 -> N11 -> N14 -> N04 -> N09 -> N10 -> N02 -> N05 -> N01 -> N12 -> N13
public_measurement_informed,random_heterogeneous_iot_public_measurement_informed_seed_103,103,protocol_aware_time,1692.389,105.027,41.712,11.051,768.162,0,0,302.661,N05 -> N09 -> N11 -> N04 -> N08 -> N01 -> N13 -> N03 -> N07 -> N06 -> N12 -> N14 -> N02 -> N10
public_measurement_informed,random_heterogeneous_iot_public_measurement_informed_seed_103,103,soft_penalty_w12,1692.391,81.22,41.437,9.148,644.495,1,0,227.824,N05 -> N04 -> N03 -> N13 -> N08 -> N01 -> N09 -> N11 -> N07 -> N06 -> N12 -> N14 -> N02 -> N10
public_measurement_informed,random_heterogeneous_iot_public_measurement_informed_seed_103,103,average_gap,1692.417,90.497,38.248,9.929,808.329,0,0,955.538,N12 -> N03 -> N11 -> N04 -> N08 -> N13 -> N09 -> N01 -> N07 -> N06 -> N05 -> N14 -> N02 -> N10
public_measurement_informed,random_heterogeneous_iot_public_measurement_informed_seed_103,103,freshness_focused,2020.554,256.157,65.426,33.792,726.308,0,0,922.233,N14 -> N05 -> N04 -> N13 -> N01 -> N09 -> N11 -> N03 -> N07 -> N06 -> N12 -> N08 -> N02 -> N10
public_measurement_informed,random_heterogeneous_iot_public_measurement_informed_seed_103,103,bounded_beta90,1412.726,57.065,24.599,4.627,592.285,1,1,2100.739,N14 -> N05 -> N12 -> N07 -> N11 -> N01 -> N13 -> N09 -> N06 -> N04 -> N08 -> N02 -> N03 -> N10
public_measurement_informed,random_heterogeneous_iot_public_measurement_informed_seed_104,104,protocol_aware_time,3325.305,105.532,55.938,9.583,1628.725,0,0,384.268,N03 -> N08 -> N14 -> N10 -> N11 -> N01 -> N12 -> N06 -> N09 -> N07 -> N05 -> N02 -> N04 -> N13
public_measurement_informed,random_heterogeneous_iot_public_measurement_informed_seed_104,104,soft_penalty_w12,3325.305,105.069,53.064,8.732,1588.703,0,0,300.859,N03 -> N08 -> N14 -> N11 -> N10 -> N01 -> N12 -> N06 -> N09 -> N07 -> N05 -> N02 -> N04 -> N13
public_measurement_informed,random_heterogeneous_iot_public_measurement_informed_seed_104,104,average_gap,3324.044,125.692,46.945,7.378,1466.111,0,0,852.78,N14 -> N03 -> N08 -> N06 -> N02 -> N01 -> N12 -> N09 -> N04 -> N07 -> N11 -> N10 -> N05 -> N13
public_measurement_informed,random_heterogeneous_iot_public_measurement_informed_seed_104,104,freshness_focused,3921.268,264.509,89.302,29.523,1172.788,0,0,885.551,N14 -> N06 -> N03 -> N08 -> N04 -> N11 -> N05 -> N10 -> N09 -> N07 -> N12 -> N02 -> N01 -> N13
public_measurement_informed,random_heterogeneous_iot_public_measurement_informed_seed_104,104,bounded_beta90,3131.103,63.564,32.696,3.305,1287.264,1,0,1883.46,N14 -> N02 -> N01 -> N08 -> N11 -> N03 -> N06 -> N05 -> N13 -> N04 -> N10 -> N07 -> N09 -> N12
