profile_variant,scenario,scenario_seed,planner,node_count,lora_nodes,zigbee_nodes,ble_nodes,wifi_nodes,total_time_s,flight_distance_m,max_blackout_s,meets_90s_budget,mission_feasible,wait_time_s,service_time_s,protocol_switches,radio_obstacle_hits,runtime_ms,route
public_measurement_informed,random_heterogeneous_iot_public_measurement_informed_seed_101,101,distance_only,14,1,7,3,3,1323.355,2469.723,105.716,0,1,620.767,524.105,8,2,0.03,N14 -> N03 -> N07 -> N08 -> N06 -> N12 -> N11 -> N02 -> N01 -> N13 -> N10 -> N09 -> N04 -> N05
public_measurement_informed,random_heterogeneous_iot_public_measurement_informed_seed_101,101,ordinary_collection,14,1,7,3,3,1416.677,2510.633,141.478,0,1,681.658,553.58,7,2,7.4,N14 -> N05 -> N04 -> N09 -> N10 -> N13 -> N01 -> N02 -> N11 -> N12 -> N06 -> N08 -> N07 -> N03
public_measurement_informed,random_heterogeneous_iot_public_measurement_informed_seed_101,101,protocol_aware,14,1,7,3,3,1016.546,3537.608,64.994,1,1,227.825,533.065,6,2,306.149,N14 -> N09 -> N04 -> N05 -> N10 -> N02 -> N13 -> N01 -> N08 -> N11 -> N07 -> N12 -> N06 -> N03
public_measurement_informed,random_heterogeneous_iot_public_measurement_informed_seed_101,101,bounded_blackout,14,1,7,3,3,871.871,3336.197,60.503,1,1,97.969,532.801,7,2,1900.313,N03 -> N07 -> N14 -> N06 -> N12 -> N04 -> N05 -> N10 -> N09 -> N02 -> N13 -> N01 -> N08 -> N11
public_measurement_informed,random_heterogeneous_iot_public_measurement_informed_seed_101,101,genetic_algorithm,14,1,7,3,3,1034.788,4208.801,101.435,0,1,196.323,534.301,8,2,621.658,N05 -> N03 -> N04 -> N09 -> N12 -> N06 -> N08 -> N01 -> N02 -> N11 -> N10 -> N13 -> N14 -> N07
public_measurement_informed,random_heterogeneous_iot_public_measurement_informed_seed_101,101,particle_swarm,14,1,7,3,3,1034.788,4213.764,98.734,0,1,199.578,530.688,7,2,185.146,N05 -> N03 -> N04 -> N09 -> N06 -> N12 -> N08 -> N11 -> N01 -> N02 -> N10 -> N13 -> N14 -> N07
public_measurement_informed,random_heterogeneous_iot_public_measurement_informed_seed_102,102,distance_only,14,1,8,4,1,1831.075,2356.04,107.818,0,0,605.774,1006.136,10,2,0.025,N06 -> N05 -> N11 -> N04 -> N09 -> N14 -> N02 -> N12 -> N03 -> N01 -> N07 -> N13 -> N08 -> N10
public_measurement_informed,random_heterogeneous_iot_public_measurement_informed_seed_102,102,ordinary_collection,14,1,8,4,1,2000.796,2118.398,290.557,0,0,768.868,1034.869,10,2,15.421,N06 -> N01 -> N03 -> N07 -> N12 -> N02 -> N14 -> N09 -> N04 -> N11 -> N05 -> N10 -> N08 -> N13
public_measurement_informed,random_heterogeneous_iot_public_measurement_informed_seed_102,102,protocol_aware,14,1,8,4,1,1486.921,2627.533,107.504,0,1,250.932,991.569,7,2,242.965,N08 -> N10 -> N07 -> N02 -> N03 -> N14 -> N04 -> N01 -> N09 -> N12 -> N05 -> N13 -> N06 -> N11
public_measurement_informed,random_heterogeneous_iot_public_measurement_informed_seed_102,102,bounded_blackout,14,1,8,4,1,1409.544,2708.314,48.818,1,1,148.799,1008.81,10,2,1827.861,N06 -> N08 -> N03 -> N07 -> N11 -> N14 -> N04 -> N09 -> N10 -> N02 -> N05 -> N01 -> N12 -> N13
public_measurement_informed,random_heterogeneous_iot_public_measurement_informed_seed_102,102,genetic_algorithm,14,1,8,4,1,1505.162,2658.529,83.849,1,0,245.428,1012.429,10,2,688.698,N10 -> N02 -> N04 -> N12 -> N03 -> N14 -> N09 -> N11 -> N07 -> N01 -> N06 -> N13 -> N08 -> N05
public_measurement_informed,random_heterogeneous_iot_public_measurement_informed_seed_102,102,particle_swarm,14,1,8,4,1,1386.278,2817.74,83.849,1,1,130.308,993.857,8,2,222.799,N10 -> N02 -> N03 -> N04 -> N14 -> N12 -> N09 -> N11 -> N07 -> N01 -> N13 -> N06 -> N08 -> N05
public_measurement_informed,random_heterogeneous_iot_public_measurement_informed_seed_103,103,distance_only,14,3,4,3,4,2013.338,2390.659,228.101,0,0,757.02,1063.331,10,0,0.026,N14 -> N04 -> N08 -> N11 -> N02 -> N13 -> N09 -> N01 -> N07 -> N06 -> N12 -> N03 -> N05 -> N10
public_measurement_informed,random_heterogeneous_iot_public_measurement_informed_seed_103,103,ordinary_collection,14,3,4,3,4,2197.473,2386.047,193.951,0,0,934.738,1070.121,12,0,10.199,N05 -> N10 -> N03 -> N12 -> N06 -> N07 -> N01 -> N13 -> N09 -> N02 -> N08 -> N11 -> N04 -> N14
public_measurement_informed,random_heterogeneous_iot_public_measurement_informed_seed_103,103,protocol_aware,14,3,4,3,4,1692.389,3596.999,105.027,0,0,292.914,1109.106,10,0,307.021,N05 -> N09 -> N11 -> N04 -> N08 -> N01 -> N13 -> N03 -> N07 -> N06 -> N12 -> N14 -> N02 -> N10
public_measurement_informed,random_heterogeneous_iot_public_measurement_informed_seed_103,103,bounded_blackout,14,3,4,3,4,1412.726,3185.277,57.065,1,1,72.36,1083.233,8,0,2100.739,N14 -> N05 -> N12 -> N07 -> N11 -> N01 -> N13 -> N09 -> N06 -> N04 -> N08 -> N02 -> N03 -> N10
public_measurement_informed,random_heterogeneous_iot_public_measurement_informed_seed_103,103,genetic_algorithm,14,3,4,3,4,1692.093,2699.194,118.949,0,0,370.724,1103.475,9,0,673.025,N13 -> N08 -> N11 -> N04 -> N09 -> N01 -> N07 -> N06 -> N03 -> N05 -> N12 -> N14 -> N02 -> N10
public_measurement_informed,random_heterogeneous_iot_public_measurement_informed_seed_103,103,particle_swarm,14,3,4,3,4,1692.389,3596.999,105.027,0,0,292.914,1109.106,10,0,219.197,N05 -> N09 -> N11 -> N04 -> N08 -> N01 -> N13 -> N03 -> N07 -> N06 -> N12 -> N14 -> N02 -> N10
public_measurement_informed,random_heterogeneous_iot_public_measurement_informed_seed_104,104,distance_only,14,6,4,1,3,3479.441,2283.23,178.474,0,0,757.85,2509.084,8,1,0.028,N10 -> N14 -> N06 -> N04 -> N11 -> N01 -> N12 -> N03 -> N08 -> N07 -> N05 -> N02 -> N13 -> N09
public_measurement_informed,random_heterogeneous_iot_public_measurement_informed_seed_104,104,ordinary_collection,14,6,4,1,3,3888.088,2272.307,206.271,0,0,993.755,2682.842,7,1,12.954,N10 -> N09 -> N13 -> N07 -> N05 -> N02 -> N01 -> N12 -> N08 -> N03 -> N11 -> N04 -> N06 -> N14
public_measurement_informed,random_heterogeneous_iot_public_measurement_informed_seed_104,104,protocol_aware,14,6,4,1,3,3325.305,3147.474,105.532,0,0,495.721,2536.64,10,1,348.361,N03 -> N08 -> N14 -> N10 -> N11 -> N01 -> N12 -> N06 -> N09 -> N07 -> N05 -> N02 -> N04 -> N13
public_measurement_informed,random_heterogeneous_iot_public_measurement_informed_seed_104,104,bounded_blackout,14,6,4,1,3,3131.103,2952.418,63.564,1,0,167.149,2689.163,9,1,1883.46,N14 -> N02 -> N01 -> N08 -> N11 -> N03 -> N06 -> N05 -> N13 -> N04 -> N10 -> N07 -> N09 -> N12
public_measurement_informed,random_heterogeneous_iot_public_measurement_informed_seed_104,104,genetic_algorithm,14,6,4,1,3,3255.566,2873.884,99.235,0,0,436.517,2551.569,8,1,695.37,N11 -> N08 -> N03 -> N04 -> N13 -> N01 -> N12 -> N07 -> N09 -> N06 -> N05 -> N14 -> N02 -> N10
public_measurement_informed,random_heterogeneous_iot_public_measurement_informed_seed_104,104,particle_swarm,14,6,4,1,3,3255.566,2873.884,94.295,0,0,497.621,2490.465,9,1,290.174,N11 -> N01 -> N08 -> N12 -> N03 -> N04 -> N07 -> N02 -> N09 -> N06 -> N05 -> N14 -> N13 -> N10
