profile_variant,scenario,scenario_seed,planner,total_time_s,max_blackout_s,mean_gap_s,average_silence_age_s,mean_collection_completion_s,meets_90s_budget,runtime_ms,route
public_trace_calibrated,random_heterogeneous_iot_public_trace_calibrated_seed_101,101,protocol_aware_time,1113.574,95.475,40.734,15.763,698.733,0,182.528,N03 -> N11 -> N06 -> N08 -> N01 -> N02 -> N13 -> N04 -> N05 -> N09 -> N14 -> N07 -> N12 -> N10
public_trace_calibrated,random_heterogeneous_iot_public_trace_calibrated_seed_101,101,soft_penalty_w12,1199.616,82.177,46.47,16.831,412.707,1,138.329,N09 -> N07 -> N06 -> N12 -> N01 -> N02 -> N03 -> N04 -> N05 -> N10 -> N14 -> N13 -> N08 -> N11
public_trace_calibrated,random_heterogeneous_iot_public_trace_calibrated_seed_101,101,average_gap,1092.759,66.263,39.346,13.073,585.463,1,499.13,N05 -> N10 -> N04 -> N09 -> N08 -> N13 -> N01 -> N11 -> N02 -> N12 -> N06 -> N14 -> N07 -> N03
public_trace_calibrated,random_heterogeneous_iot_public_trace_calibrated_seed_101,101,freshness_focused,1332.759,155.722,55.346,23.844,490.346,0,551.841,N14 -> N10 -> N02 -> N06 -> N12 -> N08 -> N05 -> N01 -> N13 -> N04 -> N09 -> N11 -> N07 -> N03
public_trace_calibrated,random_heterogeneous_iot_public_trace_calibrated_seed_101,101,bounded_beta90,1113.574,64.288,40.734,12.85,666.602,1,1005.782,N07 -> N06 -> N11 -> N12 -> N01 -> N02 -> N13 -> N04 -> N05 -> N09 -> N14 -> N03 -> N08 -> N10
public_trace_calibrated,random_heterogeneous_iot_public_trace_calibrated_seed_102,102,protocol_aware_time,1566.591,73.463,37.136,8.122,876.795,1,155.3,N06 -> N01 -> N02 -> N05 -> N04 -> N12 -> N07 -> N03 -> N14 -> N10 -> N13 -> N08 -> N09 -> N11
public_trace_calibrated,random_heterogeneous_iot_public_trace_calibrated_seed_102,102,soft_penalty_w12,1726.591,76.577,47.802,11.225,903.753,1,154.56,N01 -> N13 -> N06 -> N04 -> N08 -> N05 -> N07 -> N12 -> N03 -> N10 -> N02 -> N14 -> N09 -> N11
public_trace_calibrated,random_heterogeneous_iot_public_trace_calibrated_seed_102,102,average_gap,1566.591,73.463,37.136,8.194,876.838,1,479.062,N06 -> N01 -> N09 -> N05 -> N04 -> N12 -> N07 -> N03 -> N14 -> N10 -> N13 -> N08 -> N02 -> N11
public_trace_calibrated,random_heterogeneous_iot_public_trace_calibrated_seed_102,102,freshness_focused,1689.712,133.802,45.344,12.501,607.522,0,557.82,N06 -> N11 -> N09 -> N14 -> N10 -> N03 -> N07 -> N05 -> N13 -> N02 -> N12 -> N08 -> N04 -> N01
public_trace_calibrated,random_heterogeneous_iot_public_trace_calibrated_seed_102,102,bounded_beta90,1566.591,56.027,37.136,7.822,1012.903,1,1330.654,N06 -> N01 -> N02 -> N12 -> N03 -> N04 -> N07 -> N05 -> N14 -> N10 -> N13 -> N08 -> N09 -> N11
public_trace_calibrated,random_heterogeneous_iot_public_trace_calibrated_seed_103,103,protocol_aware_time,1723.809,69.39,43.378,9.998,890.646,1,161.547,N14 -> N04 -> N08 -> N11 -> N09 -> N13 -> N02 -> N01 -> N07 -> N06 -> N12 -> N03 -> N05 -> N10
public_trace_calibrated,random_heterogeneous_iot_public_trace_calibrated_seed_103,103,soft_penalty_w12,1766.733,83.055,46.239,11.135,859.798,1,233.443,N01 -> N08 -> N11 -> N07 -> N12 -> N14 -> N05 -> N13 -> N09 -> N04 -> N06 -> N02 -> N10 -> N03
public_trace_calibrated,random_heterogeneous_iot_public_trace_calibrated_seed_103,103,average_gap,1723.809,69.39,43.378,9.998,890.646,1,671.229,N14 -> N04 -> N08 -> N11 -> N09 -> N13 -> N02 -> N01 -> N07 -> N06 -> N12 -> N03 -> N05 -> N10
public_trace_calibrated,random_heterogeneous_iot_public_trace_calibrated_seed_103,103,freshness_focused,2036.844,263.781,64.247,29.085,674.55,0,742.184,N14 -> N04 -> N13 -> N09 -> N01 -> N07 -> N06 -> N03 -> N02 -> N08 -> N12 -> N11 -> N10 -> N05
public_trace_calibrated,random_heterogeneous_iot_public_trace_calibrated_seed_103,103,bounded_beta90,1723.809,69.39,43.378,9.998,890.646,1,1492.762,N14 -> N04 -> N08 -> N11 -> N09 -> N13 -> N02 -> N01 -> N07 -> N06 -> N12 -> N03 -> N05 -> N10
public_trace_calibrated,random_heterogeneous_iot_public_trace_calibrated_seed_104,104,protocol_aware_time,3442.218,120.015,60.729,10.764,1995.572,0,289.542,N10 -> N14 -> N09 -> N04 -> N11 -> N01 -> N12 -> N03 -> N08 -> N07 -> N13 -> N02 -> N05 -> N06
public_trace_calibrated,random_heterogeneous_iot_public_trace_calibrated_seed_104,104,soft_penalty_w12,3471.588,97.722,62.687,10.337,1533.229,0,244.289,N11 -> N14 -> N06 -> N08 -> N13 -> N01 -> N12 -> N03 -> N04 -> N07 -> N05 -> N02 -> N10 -> N09
public_trace_calibrated,random_heterogeneous_iot_public_trace_calibrated_seed_104,104,average_gap,3442.218,120.015,60.729,10.573,2030.913,0,609.442,N10 -> N09 -> N14 -> N04 -> N11 -> N01 -> N12 -> N03 -> N08 -> N07 -> N13 -> N02 -> N05 -> N06
public_trace_calibrated,random_heterogeneous_iot_public_trace_calibrated_seed_104,104,freshness_focused,3771.588,275.336,82.687,23.364,1397.291,0,576.236,N06 -> N14 -> N04 -> N11 -> N03 -> N08 -> N12 -> N01 -> N13 -> N07 -> N05 -> N02 -> N10 -> N09
public_trace_calibrated,random_heterogeneous_iot_public_trace_calibrated_seed_104,104,bounded_beta90,3443.618,88.878,60.822,9.034,1407.592,1,1257.195,N04 -> N11 -> N03 -> N08 -> N09 -> N05 -> N07 -> N02 -> N10 -> N14 -> N13 -> N01 -> N12 -> N06
public_trace_calibrated,random_heterogeneous_iot_public_trace_calibrated_seed_105,105,protocol_aware_time,1411.227,83.83,39.826,10.668,920.957,1,290.023,N04 -> N08 -> N06 -> N07 -> N09 -> N12 -> N03 -> N13 -> N11 -> N14 -> N01 -> N10 -> N05 -> N02
public_trace_calibrated,random_heterogeneous_iot_public_trace_calibrated_seed_105,105,soft_penalty_w12,1647.969,89.857,55.609,15.507,838.88,1,234.382,N14 -> N05 -> N10 -> N02 -> N04 -> N09 -> N08 -> N12 -> N07 -> N13 -> N03 -> N06 -> N01 -> N11
public_trace_calibrated,random_heterogeneous_iot_public_trace_calibrated_seed_105,105,average_gap,1411.227,102.613,39.826,11.183,911.516,0,855.265,N05 -> N08 -> N06 -> N07 -> N09 -> N12 -> N03 -> N13 -> N11 -> N14 -> N04 -> N10 -> N01 -> N02
public_trace_calibrated,random_heterogeneous_iot_public_trace_calibrated_seed_105,105,freshness_focused,1540.21,96.195,48.425,15.32,596.944,0,785.782,N10 -> N02 -> N11 -> N05 -> N01 -> N03 -> N06 -> N13 -> N09 -> N07 -> N14 -> N04 -> N12 -> N08
public_trace_calibrated,random_heterogeneous_iot_public_trace_calibrated_seed_105,105,bounded_beta90,1411.227,69.087,39.826,9.944,920.957,1,1639.933,N14 -> N08 -> N06 -> N07 -> N09 -> N12 -> N03 -> N13 -> N11 -> N04 -> N01 -> N10 -> N05 -> N02
public_trace_calibrated,random_heterogeneous_iot_public_trace_calibrated_seed_106,106,protocol_aware_time,2237.019,99.02,47.949,9.745,1121.439,0,316.536,N06 -> N13 -> N08 -> N07 -> N04 -> N09 -> N11 -> N01 -> N02 -> N14 -> N12 -> N05 -> N10 -> N03
public_trace_calibrated,random_heterogeneous_iot_public_trace_calibrated_seed_106,106,soft_penalty_w12,2517.674,105.504,66.66,15.215,1370.9,0,193.53,N02 -> N07 -> N06 -> N03 -> N14 -> N09 -> N11 -> N04 -> N12 -> N10 -> N08 -> N01 -> N05 -> N13
public_trace_calibrated,random_heterogeneous_iot_public_trace_calibrated_seed_106,106,average_gap,2167.842,71.519,43.337,7.601,1185.69,1,974.081,N06 -> N13 -> N03 -> N09 -> N14 -> N07 -> N11 -> N01 -> N05 -> N08 -> N02 -> N12 -> N10 -> N04
