profile_variant,scenario,scenario_seed,planner,node_count,lora_nodes,zigbee_nodes,ble_nodes,wifi_nodes,total_time_s,flight_distance_m,max_blackout_s,meets_90s_budget,wait_time_s,service_time_s,protocol_switches,radio_obstacle_hits,runtime_ms,route
public_trace_calibrated,random_heterogeneous_iot_public_trace_calibrated_seed_101,101,distance_only,14,1,7,3,3,1443.232,3086.215,113.677,0,683.532,536.664,8,2,0.036,N14 -> N03 -> N07 -> N08 -> N06 -> N12 -> N11 -> N02 -> N01 -> N13 -> N10 -> N09 -> N04 -> N05
public_trace_calibrated,random_heterogeneous_iot_public_trace_calibrated_seed_101,101,ordinary_collection,14,1,7,3,3,1332.759,3035.554,141.918,0,577.32,536.064,7,2,12.708,N14 -> N05 -> N04 -> N09 -> N10 -> N13 -> N01 -> N02 -> N11 -> N12 -> N06 -> N08 -> N07 -> N03
public_trace_calibrated,random_heterogeneous_iot_public_trace_calibrated_seed_101,101,protocol_aware,14,1,7,3,3,1113.574,5809.731,95.475,0,157.15,536.564,8,2,156.966,N03 -> N11 -> N06 -> N08 -> N01 -> N02 -> N13 -> N04 -> N05 -> N09 -> N14 -> N07 -> N12 -> N10
public_trace_calibrated,random_heterogeneous_iot_public_trace_calibrated_seed_101,101,bounded_blackout,14,1,7,3,3,1113.574,5219.662,64.288,1,200.194,536.164,7,2,667.642,N07 -> N06 -> N11 -> N12 -> N01 -> N02 -> N13 -> N04 -> N05 -> N09 -> N14 -> N03 -> N08 -> N10
public_trace_calibrated,random_heterogeneous_iot_public_trace_calibrated_seed_101,101,genetic_algorithm,14,1,7,3,3,1133.488,5359.742,89.332,1,207.384,538.764,9,2,658.152,N03 -> N10 -> N07 -> N08 -> N06 -> N12 -> N01 -> N02 -> N11 -> N13 -> N04 -> N05 -> N09 -> N14
public_trace_calibrated,random_heterogeneous_iot_public_trace_calibrated_seed_101,101,particle_swarm,14,1,7,3,3,1133.488,5359.742,89.332,1,207.384,538.764,9,2,191.159,N03 -> N10 -> N07 -> N08 -> N06 -> N12 -> N01 -> N02 -> N11 -> N13 -> N04 -> N05 -> N09 -> N14
public_trace_calibrated,random_heterogeneous_iot_public_trace_calibrated_seed_102,102,distance_only,14,1,8,4,1,1959.847,3146.23,111.078,0,621.423,1045.753,10,2,0.032,N06 -> N05 -> N11 -> N04 -> N09 -> N14 -> N02 -> N12 -> N03 -> N01 -> N07 -> N13 -> N08 -> N10
public_trace_calibrated,random_heterogeneous_iot_public_trace_calibrated_seed_102,102,ordinary_collection,14,1,8,4,1,1991.412,2773.924,290.945,0,686.62,1046.753,10,2,26.216,N06 -> N01 -> N03 -> N07 -> N12 -> N02 -> N14 -> N09 -> N04 -> N11 -> N05 -> N10 -> N08 -> N13
public_trace_calibrated,random_heterogeneous_iot_public_trace_calibrated_seed_102,102,protocol_aware,14,1,8,4,1,1566.591,3802.113,73.463,1,170.255,1042.653,7,2,157.242,N06 -> N01 -> N02 -> N05 -> N04 -> N12 -> N07 -> N03 -> N14 -> N10 -> N13 -> N08 -> N09 -> N11
public_trace_calibrated,random_heterogeneous_iot_public_trace_calibrated_seed_102,102,bounded_blackout,14,1,8,4,1,1566.591,3922.086,56.027,1,159.695,1042.053,6,2,944.08,N06 -> N01 -> N02 -> N12 -> N03 -> N04 -> N07 -> N05 -> N14 -> N10 -> N13 -> N08 -> N09 -> N11
public_trace_calibrated,random_heterogeneous_iot_public_trace_calibrated_seed_102,102,genetic_algorithm,14,1,8,4,1,1640.394,4551.855,64.926,1,172.114,1044.853,8,2,676.299,N01 -> N05 -> N09 -> N04 -> N08 -> N14 -> N07 -> N12 -> N10 -> N03 -> N02 -> N11 -> N06 -> N13
public_trace_calibrated,random_heterogeneous_iot_public_trace_calibrated_seed_102,102,particle_swarm,14,1,8,4,1,1746.735,4311.338,108.428,0,297.929,1047.753,10,2,197.747,N09 -> N07 -> N11 -> N04 -> N08 -> N14 -> N02 -> N12 -> N03 -> N01 -> N06 -> N13 -> N10 -> N05
public_trace_calibrated,random_heterogeneous_iot_public_trace_calibrated_seed_103,103,distance_only,14,3,4,3,4,2023.809,2823.181,206.229,0,683.166,1112.741,10,0,0.033,N14 -> N04 -> N08 -> N11 -> N02 -> N13 -> N09 -> N01 -> N07 -> N06 -> N12 -> N03 -> N05 -> N10
public_trace_calibrated,random_heterogeneous_iot_public_trace_calibrated_seed_103,103,ordinary_collection,14,3,4,3,4,2037.44,2778.623,245.158,0,694.294,1118.841,12,0,19.03,N14 -> N04 -> N11 -> N08 -> N02 -> N09 -> N13 -> N01 -> N07 -> N06 -> N12 -> N03 -> N10 -> N05
public_trace_calibrated,random_heterogeneous_iot_public_trace_calibrated_seed_103,103,protocol_aware,14,3,4,3,4,1723.809,3032.669,69.39,1,363.055,1115.941,11,0,153.674,N14 -> N04 -> N08 -> N11 -> N09 -> N13 -> N02 -> N01 -> N07 -> N06 -> N12 -> N03 -> N05 -> N10
public_trace_calibrated,random_heterogeneous_iot_public_trace_calibrated_seed_103,103,bounded_blackout,14,3,4,3,4,1723.809,3032.669,69.39,1,363.055,1115.941,11,0,1061.593,N14 -> N04 -> N08 -> N11 -> N09 -> N13 -> N02 -> N01 -> N07 -> N06 -> N12 -> N03 -> N05 -> N10
public_trace_calibrated,random_heterogeneous_iot_public_trace_calibrated_seed_103,103,genetic_algorithm,14,3,4,3,4,1733.443,6447.862,97.215,0,99.896,1113.041,9,0,677.155,N05 -> N12 -> N11 -> N03 -> N06 -> N01 -> N08 -> N13 -> N09 -> N04 -> N07 -> N14 -> N02 -> N10
public_trace_calibrated,random_heterogeneous_iot_public_trace_calibrated_seed_103,103,particle_swarm,14,3,4,3,4,1733.443,6447.862,97.215,0,99.896,1113.041,9,0,207.059,N05 -> N12 -> N11 -> N03 -> N06 -> N01 -> N08 -> N13 -> N09 -> N04 -> N07 -> N14 -> N02 -> N10
public_trace_calibrated,random_heterogeneous_iot_public_trace_calibrated_seed_104,104,distance_only,14,6,4,1,3,3471.588,3171.911,174.139,0,599.981,2576.388,8,1,0.033,N10 -> N14 -> N06 -> N04 -> N11 -> N01 -> N12 -> N03 -> N08 -> N07 -> N05 -> N02 -> N13 -> N09
public_trace_calibrated,random_heterogeneous_iot_public_trace_calibrated_seed_104,104,ordinary_collection,14,6,4,1,3,3758.675,2859.577,247.801,0,919.338,2573.188,7,1,22.138,N10 -> N09 -> N13 -> N07 -> N05 -> N02 -> N01 -> N12 -> N08 -> N03 -> N11 -> N04 -> N06 -> N14
public_trace_calibrated,random_heterogeneous_iot_public_trace_calibrated_seed_104,104,protocol_aware,14,6,4,1,3,3442.218,3996.238,120.015,0,491.089,2579.188,10,1,268.418,N10 -> N14 -> N09 -> N04 -> N11 -> N01 -> N12 -> N03 -> N08 -> N07 -> N13 -> N02 -> N05 -> N06
public_trace_calibrated,random_heterogeneous_iot_public_trace_calibrated_seed_104,104,bounded_blackout,14,6,4,1,3,3443.618,5236.257,88.878,1,377.677,2578.588,9,1,995.705,N04 -> N11 -> N03 -> N08 -> N09 -> N05 -> N07 -> N02 -> N10 -> N14 -> N13 -> N01 -> N12 -> N06
