search_mode,node_count,seed,scenario,planner,total_time_s,flight_distance_m,max_blackout_s,meets_90s_budget,mission_feasible,runtime_ms,route
seed_only,25,501,random_heterogeneous_iot_reference_seed_501,distance_only,2993.44,2668.759,227.959,0,0,0.088,N22 -> N12 -> N05 -> N21 -> N19 -> N16 -> N25 -> N15 -> N03 -> N10 -> N23 -> N01 -> N17 -> N13 -> N07 -> N24 -> N09 -> N06 -> N11 -> N04 -> N02 -> N18 -> N08 -> N14 -> N20
seed_only,25,501,random_heterogeneous_iot_reference_seed_501,protocol_aware,2245.224,3378.683,126.478,0,0,3.622,N22 -> N12 -> N16 -> N03 -> N18 -> N08 -> N19 -> N15 -> N04 -> N02 -> N11 -> N09 -> N07 -> N01 -> N21 -> N10 -> N24 -> N23 -> N25 -> N17 -> N14 -> N13 -> N20 -> N05 -> N06
seed_only,25,501,random_heterogeneous_iot_reference_seed_501,bounded_blackout,2245.224,3378.683,126.478,0,0,20.559,N22 -> N12 -> N16 -> N03 -> N18 -> N08 -> N19 -> N15 -> N04 -> N02 -> N11 -> N09 -> N07 -> N01 -> N21 -> N10 -> N24 -> N23 -> N25 -> N17 -> N14 -> N13 -> N20 -> N05 -> N06
seed_only,25,502,random_heterogeneous_iot_reference_seed_502,distance_only,2182.438,3400.823,174.172,0,0,0.056,N11 -> N05 -> N21 -> N06 -> N13 -> N23 -> N01 -> N09 -> N17 -> N14 -> N04 -> N24 -> N22 -> N07 -> N16 -> N20 -> N25 -> N12 -> N19 -> N10 -> N02 -> N18 -> N15 -> N03 -> N08
seed_only,25,502,random_heterogeneous_iot_reference_seed_502,protocol_aware,1799.608,4233.75,139.695,0,0,3.325,N05 -> N11 -> N06 -> N13 -> N01 -> N21 -> N23 -> N15 -> N14 -> N03 -> N17 -> N04 -> N22 -> N20 -> N24 -> N10 -> N18 -> N02 -> N16 -> N07 -> N19 -> N12 -> N08 -> N25 -> N09
seed_only,25,502,random_heterogeneous_iot_reference_seed_502,bounded_blackout,1495.846,4465.969,104.623,0,1,19.624,N05 -> N11 -> N06 -> N13 -> N01 -> N09 -> N23 -> N14 -> N08 -> N15 -> N17 -> N21 -> N22 -> N04 -> N12 -> N16 -> N20 -> N24 -> N10 -> N03 -> N25 -> N19 -> N18 -> N02 -> N07
seed_only,25,503,random_heterogeneous_iot_reference_seed_503,distance_only,2548.289,3114.6,174.691,0,0,0.057,N20 -> N15 -> N07 -> N22 -> N23 -> N21 -> N12 -> N14 -> N03 -> N19 -> N11 -> N01 -> N25 -> N16 -> N24 -> N05 -> N13 -> N02 -> N09 -> N08 -> N17 -> N04 -> N18 -> N10 -> N06
seed_only,25,503,random_heterogeneous_iot_reference_seed_503,protocol_aware,1573.266,3959.325,70.658,1,0,2.643,N22 -> N25 -> N15 -> N16 -> N09 -> N08 -> N24 -> N05 -> N13 -> N17 -> N04 -> N18 -> N10 -> N23 -> N12 -> N11 -> N03 -> N14 -> N01 -> N02 -> N20 -> N21 -> N07 -> N19 -> N06
seed_only,25,503,random_heterogeneous_iot_reference_seed_503,bounded_blackout,1573.266,3959.325,70.658,1,0,17.721,N22 -> N25 -> N15 -> N16 -> N09 -> N08 -> N24 -> N05 -> N13 -> N17 -> N04 -> N18 -> N10 -> N23 -> N12 -> N11 -> N03 -> N14 -> N01 -> N02 -> N20 -> N21 -> N07 -> N19 -> N06
seed_only,50,501,random_heterogeneous_iot_reference_seed_501,distance_only,5789.12,3146.75,210.502,0,0,0.2,N29 -> N22 -> N12 -> N05 -> N27 -> N21 -> N19 -> N16 -> N25 -> N15 -> N03 -> N10 -> N46 -> N37 -> N23 -> N50 -> N30 -> N43 -> N26 -> N31 -> N01 -> N41 -> N42 -> N40 -> N33 -> N17 -> N49 -> N32 -> N35 -> N48 -> N45 -> N24 -> N28 -> N44 -> N07 -> N13 -> N38 -> N09 -> N06 -> N11 -> N34 -> N47 -> N20 -> N39 -> N18 -> N36 -> N08 -> N14 -> N02 -> N04
