scenario,planner,study,parameter,value,replicates,route,total_time_s,flight_distance_m,success_rate,max_blackout_s,reconnect_count,protocol_switches,radio_obstacle_hits
blackout_threshold_45,bounded_blackout,blackout_threshold,max_blackout_s,45.0,1,,1431.218,4044.284,1.0,60.988,14.0,13.0,3.0
blackout_threshold_45,distance_only,blackout_threshold,max_blackout_s,45.0,1,,2126.934,2906.071,1.0,203.015,13.0,13.0,3.0
blackout_threshold_45,genetic_algorithm,blackout_threshold,max_blackout_s,45.0,1,,1431.218,4044.284,1.0,60.988,14.0,13.0,3.0
blackout_threshold_45,ordinary_collection,blackout_threshold,max_blackout_s,45.0,1,,1609.248,2926.059,1.0,114.121,14.0,13.0,3.0
blackout_threshold_45,particle_swarm,blackout_threshold,max_blackout_s,45.0,1,,1431.218,4044.284,1.0,60.988,14.0,13.0,3.0
blackout_threshold_45,protocol_aware,blackout_threshold,max_blackout_s,45.0,1,,1322.46,3198.589,1.0,89.669,14.0,12.0,3.0
blackout_threshold_60,bounded_blackout,blackout_threshold,max_blackout_s,60.0,1,,1431.218,4044.284,1.0,60.988,14.0,13.0,3.0
blackout_threshold_60,distance_only,blackout_threshold,max_blackout_s,60.0,1,,2126.934,2906.071,1.0,203.015,13.0,13.0,3.0
blackout_threshold_60,genetic_algorithm,blackout_threshold,max_blackout_s,60.0,1,,1373.937,4727.855,1.0,62.5,14.0,13.0,3.0
blackout_threshold_60,ordinary_collection,blackout_threshold,max_blackout_s,60.0,1,,1609.248,2926.059,1.0,114.121,14.0,13.0,3.0
blackout_threshold_60,particle_swarm,blackout_threshold,max_blackout_s,60.0,1,,1422.425,4659.011,1.0,62.5,14.0,12.0,3.0
blackout_threshold_60,protocol_aware,blackout_threshold,max_blackout_s,60.0,1,,1376.455,3154.998,1.0,69.365,14.0,12.0,3.0
blackout_threshold_75,bounded_blackout,blackout_threshold,max_blackout_s,75.0,1,,1322.255,3847.587,1.0,61.329,14.0,10.0,3.0
blackout_threshold_75,distance_only,blackout_threshold,max_blackout_s,75.0,1,,2126.934,2906.071,1.0,203.015,13.0,13.0,3.0
blackout_threshold_75,genetic_algorithm,blackout_threshold,max_blackout_s,75.0,1,,1373.49,4856.761,1.0,64.718,14.0,13.0,3.0
blackout_threshold_75,ordinary_collection,blackout_threshold,max_blackout_s,75.0,1,,1609.248,2926.059,1.0,114.121,14.0,13.0,3.0
blackout_threshold_75,particle_swarm,blackout_threshold,max_blackout_s,75.0,1,,1436.962,4271.761,1.0,74.015,14.0,12.0,3.0
blackout_threshold_75,protocol_aware,blackout_threshold,max_blackout_s,75.0,1,,1376.455,3154.998,1.0,69.365,14.0,12.0,3.0
blackout_threshold_90,bounded_blackout,blackout_threshold,max_blackout_s,90.0,1,,1322.255,3847.587,1.0,61.329,14.0,10.0,3.0
blackout_threshold_90,distance_only,blackout_threshold,max_blackout_s,90.0,1,,2126.934,2906.071,1.0,203.015,13.0,13.0,3.0
blackout_threshold_90,genetic_algorithm,blackout_threshold,max_blackout_s,90.0,1,,1373.49,4856.761,1.0,64.718,14.0,13.0,3.0
blackout_threshold_90,ordinary_collection,blackout_threshold,max_blackout_s,90.0,1,,1609.248,2926.059,1.0,114.121,14.0,13.0,3.0
blackout_threshold_90,particle_swarm,blackout_threshold,max_blackout_s,90.0,1,,1408.92,5082.919,1.0,68.204,14.0,12.0,3.0
blackout_threshold_90,protocol_aware,blackout_threshold,max_blackout_s,90.0,1,,1392.113,3780.246,1.0,102.293,14.0,12.0,3.0
blackout_threshold_120,bounded_blackout,blackout_threshold,max_blackout_s,120.0,1,,1357.891,3023.825,1.0,56.461,14.0,13.0,3.0
blackout_threshold_120,distance_only,blackout_threshold,max_blackout_s,120.0,1,,2126.934,2906.071,1.0,203.015,13.0,13.0,3.0
blackout_threshold_120,genetic_algorithm,blackout_threshold,max_blackout_s,120.0,1,,1312.309,4328.894,1.0,70.683,14.0,13.0,3.0
blackout_threshold_120,ordinary_collection,blackout_threshold,max_blackout_s,120.0,1,,1609.248,2926.059,1.0,114.121,14.0,13.0,3.0
blackout_threshold_120,particle_swarm,blackout_threshold,max_blackout_s,120.0,1,,1482.079,3678.869,1.0,96.0,14.0,12.0,3.0
blackout_threshold_120,protocol_aware,blackout_threshold,max_blackout_s,120.0,1,,1371.245,3147.929,1.0,87.981,14.0,12.0,3.0
blackout_threshold_150,bounded_blackout,blackout_threshold,max_blackout_s,150.0,1,,1322.255,3847.587,1.0,61.329,14.0,10.0,3.0
blackout_threshold_150,distance_only,blackout_threshold,max_blackout_s,150.0,1,,2126.934,2906.071,1.0,203.015,13.0,13.0,3.0
blackout_threshold_150,genetic_algorithm,blackout_threshold,max_blackout_s,150.0,1,,1357.67,3251.739,1.0,81.591,14.0,13.0,3.0
blackout_threshold_150,ordinary_collection,blackout_threshold,max_blackout_s,150.0,1,,1609.248,2926.059,1.0,114.121,14.0,13.0,3.0
blackout_threshold_150,particle_swarm,blackout_threshold,max_blackout_s,150.0,1,,1290.095,3509.368,1.0,79.904,14.0,13.0,3.0
blackout_threshold_150,protocol_aware,blackout_threshold,max_blackout_s,150.0,1,,1357.938,3442.245,1.0,73.475,14.0,12.0,3.0
protocol_ratio_0,bounded_blackout,protocol_ratio,heterogeneity_ratio,0.0,1,,465.526,2576.425,1.0,38.956,8.0,0.0,0.0
protocol_ratio_0,distance_only,protocol_ratio,heterogeneity_ratio,0.0,1,,599.59,2820.345,1.0,66.948,12.0,0.0,0.0
protocol_ratio_0,genetic_algorithm,protocol_ratio,heterogeneity_ratio,0.0,1,,465.526,2576.425,1.0,38.956,8.0,0.0,0.0
protocol_ratio_0,ordinary_collection,protocol_ratio,heterogeneity_ratio,0.0,1,,599.59,2820.345,1.0,66.948,12.0,0.0,0.0
protocol_ratio_0,particle_swarm,protocol_ratio,heterogeneity_ratio,0.0,1,,462.336,2520.969,1.0,39.018,8.0,0.0,0.0
protocol_ratio_0,protocol_aware,protocol_ratio,heterogeneity_ratio,0.0,1,,465.526,2576.425,1.0,38.956,8.0,0.0,0.0
protocol_ratio_0.25,bounded_blackout,protocol_ratio,heterogeneity_ratio,0.25,1,,631.628,3124.772,1.0,35.95,12.0,2.0,1.0
protocol_ratio_0.25,distance_only,protocol_ratio,heterogeneity_ratio,0.25,1,,773.204,2892.355,1.0,96.317,13.0,3.0,1.0
protocol_ratio_0.25,genetic_algorithm,protocol_ratio,heterogeneity_ratio,0.25,1,,644.699,3716.518,1.0,70.281,10.0,3.0,1.0
protocol_ratio_0.25,ordinary_collection,protocol_ratio,heterogeneity_ratio,0.25,1,,773.204,2892.355,1.0,96.317,13.0,3.0,1.0
protocol_ratio_0.25,particle_swarm,protocol_ratio,heterogeneity_ratio,0.25,1,,600.156,3213.806,1.0,54.439,12.0,3.0,1.0
protocol_ratio_0.25,protocol_aware,protocol_ratio,heterogeneity_ratio,0.25,1,,670.506,3934.492,1.0,60.15,13.0,3.0,1.0
protocol_ratio_0.5,bounded_blackout,protocol_ratio,heterogeneity_ratio,0.5,1,,596.911,3421.817,1.0,53.143,13.0,6.0,2.0
protocol_ratio_0.5,distance_only,protocol_ratio,heterogeneity_ratio,0.5,1,,902.384,3006.8,1.0,99.877,13.0,6.0,2.0
protocol_ratio_0.5,genetic_algorithm,protocol_ratio,heterogeneity_ratio,0.5,1,,596.911,3421.817,1.0,53.143,13.0,6.0,2.0
protocol_ratio_0.5,ordinary_collection,protocol_ratio,heterogeneity_ratio,0.5,1,,902.384,3006.8,1.0,99.877,13.0,6.0,2.0
