scenario,planner,total_time_s,flight_distance_m,success_rate,mission_feasible,max_blackout_s,wait_time_s,service_time_s,reconnect_count,protocol_switches,radio_obstacle_hits,route,study,parameter,value,replicate
protocol_ratio_0.00_rep0,distance_only,599.59,2820.345,1.0,True,66.948,114.304,250.257,12,0,0,N01 -> N02 -> N03 -> N04 -> N05 -> N06 -> N07 -> N08 -> N13 -> N12 -> N09 -> N10 -> N11 -> N14,protocol_ratio,heterogeneity_ratio,0.0,0
protocol_ratio_0.00_rep0,ordinary_collection,599.59,2820.345,1.0,True,66.948,114.304,250.257,12,0,0,N01 -> N02 -> N03 -> N04 -> N05 -> N06 -> N07 -> N08 -> N13 -> N12 -> N09 -> N10 -> N11 -> N14,protocol_ratio,heterogeneity_ratio,0.0,0
protocol_ratio_0.00_rep0,protocol_aware,465.526,2576.425,1.0,True,38.956,4.551,246.273,8,0,0,N02 -> N03 -> N08 -> N07 -> N12 -> N13 -> N05 -> N10 -> N09 -> N06 -> N14 -> N11 -> N04 -> N01,protocol_ratio,heterogeneity_ratio,0.0,0
protocol_ratio_0.00_rep0,bounded_blackout,465.526,2576.425,1.0,True,38.956,4.551,246.273,8,0,0,N02 -> N03 -> N08 -> N07 -> N12 -> N13 -> N05 -> N10 -> N09 -> N06 -> N14 -> N11 -> N04 -> N01,protocol_ratio,heterogeneity_ratio,0.0,0
protocol_ratio_0.00_rep0,genetic_algorithm,465.526,2576.425,1.0,True,38.956,4.551,246.273,8,0,0,N02 -> N03 -> N08 -> N07 -> N12 -> N13 -> N05 -> N10 -> N09 -> N06 -> N14 -> N11 -> N04 -> N01,protocol_ratio,heterogeneity_ratio,0.0,0
protocol_ratio_0.00_rep0,particle_swarm,462.336,2520.969,1.0,True,39.018,6.35,245.906,8,0,0,N02 -> N03 -> N08 -> N07 -> N12 -> N13 -> N05 -> N06 -> N10 -> N09 -> N14 -> N11 -> N04 -> N01,protocol_ratio,heterogeneity_ratio,0.0,0
protocol_ratio_0.25_rep0,distance_only,773.204,2892.355,1.0,True,96.317,227.344,304.83,13,3,1,N01 -> N02 -> N03 -> N04 -> N05 -> N06 -> N07 -> N08 -> N13 -> N12 -> N09 -> N10 -> N11 -> N14,protocol_ratio,heterogeneity_ratio,0.25,0
protocol_ratio_0.25_rep0,ordinary_collection,773.204,2892.355,1.0,True,96.317,227.344,304.83,13,3,1,N01 -> N02 -> N03 -> N04 -> N05 -> N06 -> N07 -> N08 -> N13 -> N12 -> N09 -> N10 -> N11 -> N14,protocol_ratio,heterogeneity_ratio,0.25,0
protocol_ratio_0.25_rep0,protocol_aware,670.506,3934.492,1.0,True,60.15,40.898,301.734,13,3,1,N02 -> N11 -> N14 -> N09 -> N06 -> N10 -> N12 -> N08 -> N13 -> N01 -> N04 -> N03 -> N07 -> N05,protocol_ratio,heterogeneity_ratio,0.25,0
protocol_ratio_0.25_rep0,bounded_blackout,631.628,3124.772,1.0,True,35.95,69.434,301.797,12,2,1,N01 -> N04 -> N14 -> N05 -> N11 -> N03 -> N10 -> N12 -> N09 -> N13 -> N08 -> N07 -> N06 -> N02,protocol_ratio,heterogeneity_ratio,0.25,0
protocol_ratio_0.25_rep0,genetic_algorithm,644.699,3716.518,1.0,True,70.281,33.726,301.262,10,3,1,N01 -> N14 -> N05 -> N04 -> N12 -> N10 -> N09 -> N08 -> N13 -> N02 -> N07 -> N06 -> N11 -> N03,protocol_ratio,heterogeneity_ratio,0.25,0
protocol_ratio_0.25_rep0,particle_swarm,600.156,3213.806,1.0,True,54.439,28.966,303.374,12,3,1,N02 -> N09 -> N05 -> N10 -> N12 -> N06 -> N13 -> N08 -> N07 -> N04 -> N11 -> N14 -> N03 -> N01,protocol_ratio,heterogeneity_ratio,0.25,0
protocol_ratio_0.50_rep0,distance_only,902.384,3006.8,1.0,True,99.877,402.781,249.036,13,6,2,N01 -> N02 -> N03 -> N04 -> N05 -> N06 -> N07 -> N08 -> N13 -> N12 -> N09 -> N10 -> N11 -> N14,protocol_ratio,heterogeneity_ratio,0.5,0
protocol_ratio_0.50_rep0,ordinary_collection,902.384,3006.8,1.0,True,99.877,402.781,249.036,13,6,2,N01 -> N02 -> N03 -> N04 -> N05 -> N06 -> N07 -> N08 -> N13 -> N12 -> N09 -> N10 -> N11 -> N14,protocol_ratio,heterogeneity_ratio,0.5,0
protocol_ratio_0.50_rep0,protocol_aware,596.911,3421.817,1.0,True,53.143,62.952,248.807,13,6,2,N01 -> N04 -> N13 -> N08 -> N07 -> N12 -> N09 -> N05 -> N10 -> N11 -> N14 -> N02 -> N03 -> N06,protocol_ratio,heterogeneity_ratio,0.5,0
protocol_ratio_0.50_rep0,bounded_blackout,596.911,3421.817,1.0,True,53.143,62.952,248.807,13,6,2,N01 -> N04 -> N13 -> N08 -> N07 -> N12 -> N09 -> N05 -> N10 -> N11 -> N14 -> N02 -> N03 -> N06,protocol_ratio,heterogeneity_ratio,0.5,0
protocol_ratio_0.50_rep0,genetic_algorithm,596.911,3421.817,1.0,True,53.143,62.952,248.807,13,6,2,N01 -> N04 -> N13 -> N08 -> N07 -> N12 -> N09 -> N05 -> N10 -> N11 -> N14 -> N02 -> N03 -> N06,protocol_ratio,heterogeneity_ratio,0.5,0
protocol_ratio_0.50_rep0,particle_swarm,586.249,3048.284,1.0,True,84.531,85.442,246.784,12,5,2,N01 -> N04 -> N13 -> N08 -> N07 -> N09 -> N12 -> N05 -> N10 -> N14 -> N11 -> N06 -> N02 -> N03,protocol_ratio,heterogeneity_ratio,0.5,0
protocol_ratio_0.75_rep0,distance_only,902.439,3047.466,1.0,True,121.716,333.119,315.364,13,9,2,N01 -> N02 -> N03 -> N04 -> N05 -> N06 -> N07 -> N08 -> N13 -> N12 -> N09 -> N10 -> N11 -> N14,protocol_ratio,heterogeneity_ratio,0.75,0
protocol_ratio_0.75_rep0,ordinary_collection,902.439,3047.466,1.0,True,121.716,333.119,315.364,13,9,2,N01 -> N02 -> N03 -> N04 -> N05 -> N06 -> N07 -> N08 -> N13 -> N12 -> N09 -> N10 -> N11 -> N14,protocol_ratio,heterogeneity_ratio,0.75,0
protocol_ratio_0.75_rep0,protocol_aware,673.511,3105.354,1.0,True,51.521,99.034,315.697,13,9,2,N08 -> N13 -> N07 -> N09 -> N12 -> N05 -> N10 -> N14 -> N11 -> N03 -> N06 -> N02 -> N04 -> N01,protocol_ratio,heterogeneity_ratio,0.75,0
protocol_ratio_0.75_rep0,bounded_blackout,673.511,3105.354,1.0,True,51.521,99.034,315.697,13,9,2,N08 -> N13 -> N07 -> N09 -> N12 -> N05 -> N10 -> N14 -> N11 -> N03 -> N06 -> N02 -> N04 -> N01,protocol_ratio,heterogeneity_ratio,0.75,0
protocol_ratio_0.75_rep0,genetic_algorithm,673.511,3105.354,1.0,True,51.521,99.034,315.697,13,9,2,N08 -> N13 -> N07 -> N09 -> N12 -> N05 -> N10 -> N14 -> N11 -> N03 -> N06 -> N02 -> N04 -> N01,protocol_ratio,heterogeneity_ratio,0.75,0
protocol_ratio_0.75_rep0,particle_swarm,673.511,3105.354,1.0,True,51.521,99.034,315.697,13,9,2,N08 -> N13 -> N07 -> N09 -> N12 -> N05 -> N10 -> N14 -> N11 -> N03 -> N06 -> N02 -> N04 -> N01,protocol_ratio,heterogeneity_ratio,0.75,0
protocol_ratio_1.00_rep0,distance_only,2126.934,2906.071,1.0,False,203.015,1045.355,839.407,13,13,3,N01 -> N02 -> N03 -> N04 -> N05 -> N06 -> N07 -> N08 -> N13 -> N12 -> N09 -> N10 -> N11 -> N14,protocol_ratio,heterogeneity_ratio,1.0,0
