scenario,planner,total_time_s,max_blackout_s,mean_gap_s,average_silence_age_s,mean_collection_completion_s,meets_90s_budget,mission_feasible,runtime_ms,route
reference,distance_only,2126.934,203.015,88.875,39.477,879.284,0,0,0.039,N01 -> N02 -> N03 -> N04 -> N05 -> N06 -> N07 -> N08 -> N13 -> N12 -> N09 -> N10 -> N11 -> N14
reference,ordinary_collection,1609.248,114.121,52.468,18.192,907.183,0,0,8.304,N14 -> N11 -> N10 -> N09 -> N12 -> N13 -> N08 -> N07 -> N06 -> N05 -> N04 -> N03 -> N02 -> N01
reference,protocol_aware_time,1371.245,87.981,36.787,10.787,640.93,1,1,310.808,N02 -> N12 -> N13 -> N06 -> N07 -> N08 -> N10 -> N05 -> N09 -> N11 -> N04 -> N01 -> N03 -> N14
reference,soft_penalty_w12,1465.46,76.68,42.431,11.563,748.059,1,1,320.92,N14 -> N12 -> N07 -> N13 -> N05 -> N06 -> N02 -> N09 -> N03 -> N04 -> N11 -> N10 -> N08 -> N01
reference,average_gap,1371.238,60.78,35.794,8.527,672.94,1,1,929.658,N08 -> N02 -> N10 -> N12 -> N07 -> N13 -> N06 -> N05 -> N09 -> N11 -> N04 -> N01 -> N03 -> N14
reference,freshness_focused,1401.206,100.615,41.289,14.228,614.858,0,1,887.631,N02 -> N04 -> N06 -> N05 -> N11 -> N07 -> N13 -> N08 -> N01 -> N14 -> N03 -> N12 -> N10 -> N09
reference,bounded_beta90,1357.891,56.461,35.353,8.424,675.484,1,1,1933.509,N03 -> N11 -> N10 -> N12 -> N07 -> N09 -> N13 -> N06 -> N08 -> N05 -> N14 -> N01 -> N02 -> N04
random_101,distance_only,987.849,76.28,45.463,19.013,490.758,1,1,0.037,N14 -> N03 -> N07 -> N08 -> N06 -> N12 -> N11 -> N02 -> N01 -> N13 -> N10 -> N09 -> N04 -> N05
random_101,ordinary_collection,1206.075,199.752,59.278,36.69,659.832,0,1,7.525,N14 -> N05 -> N04 -> N09 -> N10 -> N13 -> N01 -> N02 -> N11 -> N12 -> N06 -> N08 -> N07 -> N03
random_101,protocol_aware_time,829.777,71.003,34.944,15.083,446.602,1,1,209.145,N12 -> N06 -> N11 -> N08 -> N01 -> N10 -> N02 -> N13 -> N09 -> N04 -> N07 -> N03 -> N05 -> N14
random_101,soft_penalty_w12,826.881,83.853,34.6,15.45,396.497,1,1,367.805,N03 -> N07 -> N06 -> N11 -> N10 -> N12 -> N08 -> N14 -> N04 -> N05 -> N01 -> N02 -> N13 -> N09
random_101,average_gap,829.777,93.269,34.805,17.267,437.144,0,1,652.163,N06 -> N12 -> N08 -> N11 -> N10 -> N01 -> N02 -> N13 -> N09 -> N04 -> N07 -> N03 -> N05 -> N14
random_101,freshness_focused,795.256,66.693,32.609,14.555,333.654,1,1,682.702,N03 -> N14 -> N06 -> N12 -> N11 -> N08 -> N07 -> N02 -> N01 -> N04 -> N09 -> N13 -> N10 -> N05
random_101,bounded_beta90,829.777,71.003,34.944,15.083,446.602,1,1,1488.62,N12 -> N06 -> N11 -> N08 -> N01 -> N10 -> N02 -> N13 -> N09 -> N04 -> N07 -> N03 -> N05 -> N14
random_102,distance_only,1107.651,84.112,44.245,17.205,515.447,1,1,0.025,N06 -> N05 -> N11 -> N04 -> N09 -> N14 -> N02 -> N12 -> N03 -> N01 -> N07 -> N13 -> N08 -> N10
random_102,ordinary_collection,1143.626,127.68,45.883,20.973,650.945,0,1,14.756,N06 -> N01 -> N03 -> N07 -> N12 -> N02 -> N14 -> N09 -> N04 -> N11 -> N05 -> N10 -> N08 -> N13
random_102,protocol_aware_time,833.633,56.354,25.875,8.327,496.747,1,1,306.892,N01 -> N09 -> N03 -> N12 -> N07 -> N02 -> N13 -> N08 -> N04 -> N10 -> N05 -> N14 -> N06 -> N11
random_102,soft_penalty_w12,945.65,78.941,33.471,11.807,512.172,1,1,316.443,N08 -> N02 -> N04 -> N09 -> N10 -> N14 -> N01 -> N12 -> N05 -> N07 -> N03 -> N06 -> N11 -> N13
random_102,average_gap,804.147,56.354,23.799,7.486,478.087,1,1,797.683,N01 -> N09 -> N05 -> N12 -> N07 -> N02 -> N03 -> N14 -> N08 -> N13 -> N10 -> N04 -> N11 -> N06
random_102,freshness_focused,1046.381,105.067,39.792,15.564,446.982,0,1,828.775,N06 -> N02 -> N05 -> N09 -> N07 -> N11 -> N13 -> N08 -> N14 -> N10 -> N04 -> N12 -> N01 -> N03
random_102,bounded_beta90,833.633,56.354,25.875,8.327,496.747,1,1,1726.766,N01 -> N09 -> N03 -> N12 -> N07 -> N02 -> N13 -> N08 -> N04 -> N10 -> N05 -> N14 -> N06 -> N11
random_103,distance_only,1503.471,228.146,73.249,50.469,728.922,0,0,0.024,N14 -> N04 -> N08 -> N11 -> N02 -> N13 -> N09 -> N01 -> N07 -> N06 -> N12 -> N03 -> N05 -> N10
random_103,ordinary_collection,1086.657,85.074,45.32,18.471,554.5,1,1,10.211,N14 -> N04 -> N11 -> N08 -> N02 -> N09 -> N13 -> N01 -> N07 -> N06 -> N12 -> N03 -> N10 -> N05
random_103,protocol_aware_time,988.394,115.624,36.994,19.182,450.531,0,1,258.069,N13 -> N09 -> N07 -> N01 -> N04 -> N03 -> N12 -> N11 -> N06 -> N05 -> N08 -> N10 -> N14 -> N02
random_103,soft_penalty_w12,941.447,81.541,34.919,13.958,504.68,1,1,306.208,N01 -> N03 -> N10 -> N13 -> N09 -> N11 -> N07 -> N06 -> N12 -> N14 -> N02 -> N05 -> N04 -> N08
random_103,average_gap,988.394,115.625,36.974,18.397,448.778,0,1,744.418,N13 -> N09 -> N04 -> N01 -> N07 -> N03 -> N12 -> N11 -> N06 -> N05 -> N08 -> N10 -> N14 -> N02
random_103,freshness_focused,1019.353,117.656,39.973,19.498,348.966,0,1,805.313,N14 -> N05 -> N12 -> N06 -> N01 -> N07 -> N04 -> N08 -> N09 -> N02 -> N13 -> N03 -> N10 -> N11
random_103,bounded_beta90,1086.657,85.074,45.32,18.471,554.5,1,1,1971.708,N14 -> N04 -> N11 -> N08 -> N02 -> N09 -> N13 -> N01 -> N07 -> N06 -> N12 -> N03 -> N10 -> N05
random_104,distance_only,2379.46,229.392,100.037,44.341,1123.411,0,0,0.025,N10 -> N14 -> N06 -> N04 -> N11 -> N01 -> N12 -> N03 -> N08 -> N07 -> N05 -> N02 -> N13 -> N09
random_104,ordinary_collection,2209.814,206.354,86.565,37.519,1347.027,0,0,17.844,N10 -> N09 -> N13 -> N07 -> N05 -> N02 -> N01 -> N12 -> N08 -> N03 -> N11 -> N04 -> N06 -> N14
