scenario_seed,uncertainty_level,planner,total_time_s,flight_distance_m,max_blackout_s,meets_90s_budget,mission_feasible,planning_runtime_ms,route
601,0.0,distance_only,1409.077,2074.101,194.417,0,1,0.03,N05 -> N11 -> N06 -> N12 -> N01 -> N07 -> N04 -> N03 -> N08 -> N14 -> N02 -> N13 -> N09 -> N10
601,0.0,protocol_aware,919.782,2601.669,72.433,1,1,303.876,N13 -> N14 -> N03 -> N08 -> N07 -> N01 -> N04 -> N02 -> N06 -> N10 -> N09 -> N12 -> N11 -> N05
601,0.0,bounded_blackout,919.782,2601.669,72.433,1,1,1940.642,N13 -> N14 -> N03 -> N08 -> N07 -> N01 -> N04 -> N02 -> N06 -> N10 -> N09 -> N12 -> N11 -> N05
601,0.02,distance_only,1406.784,2074.101,189.831,0,1,0.03,N05 -> N11 -> N06 -> N12 -> N01 -> N07 -> N04 -> N03 -> N08 -> N14 -> N02 -> N13 -> N09 -> N10
601,0.02,protocol_aware,1399.748,2601.669,180.415,0,1,303.876,N13 -> N14 -> N03 -> N08 -> N07 -> N01 -> N04 -> N02 -> N06 -> N10 -> N09 -> N12 -> N11 -> N05
601,0.02,bounded_blackout,1399.748,2601.669,180.415,0,1,1940.642,N13 -> N14 -> N03 -> N08 -> N07 -> N01 -> N04 -> N02 -> N06 -> N10 -> N09 -> N12 -> N11 -> N05
601,0.05,distance_only,1122.543,2074.101,128.395,0,1,0.03,N05 -> N11 -> N06 -> N12 -> N01 -> N07 -> N04 -> N03 -> N08 -> N14 -> N02 -> N13 -> N09 -> N10
601,0.05,protocol_aware,1519.696,2601.669,190.928,0,0,303.876,N13 -> N14 -> N03 -> N08 -> N07 -> N01 -> N04 -> N02 -> N06 -> N10 -> N09 -> N12 -> N11 -> N05
601,0.05,bounded_blackout,1519.696,2601.669,190.928,0,0,1940.642,N13 -> N14 -> N03 -> N08 -> N07 -> N01 -> N04 -> N02 -> N06 -> N10 -> N09 -> N12 -> N11 -> N05
601,0.1,distance_only,1205.774,2074.101,145.093,0,1,0.03,N05 -> N11 -> N06 -> N12 -> N01 -> N07 -> N04 -> N03 -> N08 -> N14 -> N02 -> N13 -> N09 -> N10
601,0.1,protocol_aware,1519.605,2601.669,218.35,0,0,303.876,N13 -> N14 -> N03 -> N08 -> N07 -> N01 -> N04 -> N02 -> N06 -> N10 -> N09 -> N12 -> N11 -> N05
601,0.1,bounded_blackout,1519.605,2601.669,218.35,0,0,1940.642,N13 -> N14 -> N03 -> N08 -> N07 -> N01 -> N04 -> N02 -> N06 -> N10 -> N09 -> N12 -> N11 -> N05
602,0.0,distance_only,1845.999,2526.824,220.801,0,0,0.022,N06 -> N12 -> N07 -> N03 -> N11 -> N10 -> N02 -> N09 -> N04 -> N13 -> N05 -> N01 -> N14 -> N08
