uncertainty_level,planner,scenarios,violations_90s,endurance_violations,total_time_s_mean,total_time_s_std,total_time_s_ci95,flight_distance_m_mean,flight_distance_m_std,flight_distance_m_ci95,max_blackout_s_mean,max_blackout_s_std,max_blackout_s_ci95,planning_runtime_ms_mean,planning_runtime_ms_std,planning_runtime_ms_ci95
0.0,distance_only,50,50,27,1584.443,392.973,108.927,2638.426,324.989,90.082,170.325,44.046,12.209,0.023,0.002,0.001
0.0,protocol_aware,50,20,5,1137.341,274.89,76.196,3379.666,593.932,164.63,87.326,17.615,4.883,327.786,113.034,31.331
0.0,bounded_blackout,50,1,4,1099.073,276.401,76.614,3242.831,537.905,149.1,65.684,13.643,3.782,1942.38,365.389,101.281
0.02,distance_only,50,50,28,1593.259,377.637,104.676,2638.426,324.989,90.082,175.83,44.383,12.302,0.023,0.002,0.001
0.02,protocol_aware,50,32,12,1282.297,363.318,100.707,3379.666,593.932,164.63,124.849,58.311,16.163,327.786,113.034,31.331
0.02,bounded_blackout,50,16,12,1236.399,357.483,99.089,3242.831,537.905,149.1,102.528,63.213,17.522,1942.38,365.389,101.281
0.05,distance_only,50,50,27,1588.771,377.601,104.666,2638.426,324.989,90.082,173.794,44.406,12.309,0.023,0.002,0.001
0.05,protocol_aware,50,38,18,1389.688,425.35,117.901,3379.666,593.932,164.63,146.423,60.839,16.864,327.786,113.034,31.331
0.05,bounded_blackout,50,30,18,1362.41,416.743,115.515,3242.831,537.905,149.1,137.157,70.436,19.524,1942.38,365.389,101.281
0.1,distance_only,50,49,26,1584.674,374.603,103.835,2638.426,324.989,90.082,176.741,45.149,12.515,0.023,0.002,0.001
0.1,protocol_aware,50,44,23,1489.288,431.815,119.693,3379.666,593.932,164.63,170.356,57.013,15.803,327.786,113.034,31.331
0.1,bounded_blackout,50,37,24,1448.23,433.624,120.194,3242.831,537.905,149.1,162.773,69.762,19.337,1942.38,365.389,101.281
